epoch,d_real_auth_acc,d_real_class_acc,d_fake_auth_acc,d_fake_class_acc,g_auth_acc,g_class_acc
99,1.0,0.21875,1.0,0.1640625,1.0,0.140625
100,1.0,0.2734375,1.0,0.140625,1.0,0.2109375
101,1.0,0.2421875,1.0,0.0703125,1.0,0.1796875
102,1.0,0.3359375,1.0,0.0859375,1.0,0.171875
103,1.0,0.28125,1.0,0.0859375,1.0,0.1796875
104,1.0,0.3046875,1.0,0.1015625,1.0,0.1796875
105,1.0,0.265625,1.0,0.109375,1.0,0.2421875
106,1.0,0.3203125,1.0,0.1328125,1.0,0.171875
107,1.0,0.3046875,1.0,0.0859375,1.0,0.15625
108,1.0,0.2109375,1.0,0.109375,0.984375,0.1953125
109,1.0,0.34375,1.0,0.109375,1.0,0.125
110,1.0,0.2578125,1.0,0.1328125,1.0,0.140625
111,1.0,0.3203125,1.0,0.1484375,0.9921875,0.1171875
112,1.0,0.2109375,1.0,0.109375,0.9921875,0.171875
113,1.0,0.296875,1.0,0.1015625,1.0,0.1640625
114,1.0,0.359375,1.0,0.0859375,1.0,0.125
115,1.0,0.3125,1.0,0.125,1.0,0.21875
116,1.0,0.34375,1.0,0.1328125,1.0,0.1015625
117,1.0,0.2109375,1.0,0.09375,0.953125,0.21875
118,0.9921875,0.3046875,1.0,0.078125,1.0,0.171875
119,1.0,0.265625,1.0,0.125,1.0,0.171875
120,1.0,0.2890625,1.0,0.09375,1.0,0.1875
121,1.0,0.3046875,1.0,0.140625,1.0,0.203125
122,1.0,0.3125,1.0,0.1171875,1.0,0.1640625
123,1.0,0.3828125,1.0,0.1640625,1.0,0.1796875
124,1.0,0.3046875,1.0,0.109375,1.0,0.1953125
125,1.0,0.3515625,1.0,0.0546875,1.0,0.2578125
126,1.0,0.28125,1.0,0.09375,1.0,0.15625
127,1.0,0.3671875,1.0,0.140625,1.0,0.2578125
128,1.0,0.25,1.0,0.1015625,1.0,0.15625
129,1.0,0.375,1.0,0.125,1.0,0.2421875
130,1.0,0.3984375,1.0,0.109375,1.0,0.1484375
131,1.0,0.296875,1.0,0.125,0.9921875,0.1640625
132,1.0,0.28125,1.0,0.0859375,0.9921875,0.15625
133,1.0,0.3046875,1.0,0.125,1.0,0.109375
134,0.9921875,0.359375,1.0,0.140625,1.0,0.2109375
135,1.0,0.3125,1.0,0.1328125,1.0,0.1484375
136,1.0,0.3671875,1.0,0.1328125,1.0,0.1640625
137,1.0,0.28125,1.0,0.125,1.0,0.1953125
138,1.0,0.390625,1.0,0.125,0.9921875,0.1796875
139,1.0,0.25,1.0,0.0859375,1.0,0.15625
140,1.0,0.3125,1.0,0.1171875,1.0,0.140625
141,1.0,0.359375,1.0,0.15625,1.0,0.1328125
142,1.0,0.359375,1.0,0.1875,1.0,0.15625
143,1.0,0.2890625,1.0,0.1015625,0.984375,0.125
144,1.0,0.28125,1.0,0.1171875,1.0,0.2109375
145,1.0,0.3984375,1.0,0.1015625,0.9921875,0.15625
146,1.0,0.3828125,1.0,0.21875,1.0,0.140625
147,1.0,0.28125,1.0,0.125,1.0,0.15625
148,1.0,0.3125,1.0,0.1171875,0.984375,0.1640625
149,0.9921875,0.4296875,1.0,0.125,1.0,0.171875
150,1.0,0.3046875,1.0,0.15625,1.0,0.2109375
151,1.0,0.265625,1.0,0.140625,1.0,0.1484375
152,1.0,0.3203125,1.0,0.109375,1.0,0.1875
153,1.0,0.3515625,1.0,0.1640625,1.0,0.1953125
