epoch,d_loss,d_acc,c_loss,c_acc,g_loss_disc,g_acc_disc,g_loss_clas,g_acc_clas
569,0.8574600219726562,0.34375,2.359185576438904,0.078125,0.696316123008728,0.46875,2.3137993812561035,0.109375
580,0.7549735903739929,0.453125,2.3409249782562256,0.0625,0.6911998987197876,0.515625,2.3448543548583984,0.078125
595,0.7636768817901611,0.4765625,2.321200966835022,0.078125,0.7050294876098633,0.375,2.3073203563690186,0.0625
599,0.7477322518825531,0.5078125,2.302398681640625,0.1640625,0.7120370864868164,0.390625,2.31860613822937,0.140625
601,0.7499715983867645,0.46875,2.3408899307250977,0.0859375,0.7222459316253662,0.375,2.296257972717285,0.140625
603,0.7381350994110107,0.5234375,2.2795053720474243,0.09375,0.7228368520736694,0.390625,2.233494758605957,0.21875
610,0.7292995452880859,0.5,2.2846930027008057,0.1328125,0.7596697807312012,0.34375,2.296992063522339,0.125
611,0.7435905933380127,0.5078125,2.232302188873291,0.15625,0.708217442035675,0.4375,2.225048780441284,0.1875
627,0.7125260829925537,0.53125,2.204512357711792,0.203125,0.7630631923675537,0.421875,2.255603313446045,0.203125
633,0.7418542504310608,0.5078125,2.273332357406616,0.1328125,0.7496564984321594,0.453125,2.244262456893921,0.125
660,0.7837311625480652,0.4140625,2.2369461059570312,0.1484375,0.812117874622345,0.375,2.2509613037109375,0.109375
679,0.7371560037136078,0.4921875,2.22688090801239,0.1953125,0.8389219641685486,0.25,2.2667572498321533,0.15625
681,0.74770787358284,0.453125,2.2399836778640747,0.1796875,0.7685254812240601,0.34375,2.1906113624572754,0.234375
682,0.7364941239356995,0.4609375,2.178522825241089,0.25,0.7671440243721008,0.421875,2.1959314346313477,0.234375
695,0.7367210388183594,0.4921875,2.181053400039673,0.2265625,0.8104193210601807,0.328125,2.1905457973480225,0.25
696,0.7454850673675537,0.46875,2.1400463581085205,0.2890625,0.8198269605636597,0.328125,2.204293966293335,0.265625
704,0.7068853080272675,0.546875,2.1795560121536255,0.2890625,0.8195924758911133,0.34375,2.163128614425659,0.296875
706,0.7299438416957855,0.515625,2.1093976497650146,0.296875,0.8241814374923706,0.375,2.162973403930664,0.265625
716,0.7241247594356537,0.515625,2.143973231315613,0.28125,0.836710512638092,0.359375,2.1452107429504395,0.296875
721,0.7109521329402924,0.546875,2.080521821975708,0.3125,0.9073182344436646,0.234375,2.140085458755493,0.234375
724,0.7220425009727478,0.4921875,2.0972161293029785,0.2890625,0.841057300567627,0.3125,2.1399173736572266,0.234375
731,0.7070940434932709,0.5390625,2.1067079305648804,0.34375,0.8073744773864746,0.421875,2.090053081512451,0.390625
735,0.740620344877243,0.5,2.058274745941162,0.359375,0.8587958812713623,0.359375,2.0854408740997314,0.328125
739,0.6992901563644409,0.5625,2.0352197885513306,0.4375,0.859574556350708,0.359375,2.104302406311035,0.234375
742,0.7231481075286865,0.515625,2.0244221091270447,0.421875,0.7926136255264282,0.40625,2.060077667236328,0.359375
746,0.7346682548522949,0.46875,2.0438575744628906,0.359375,0.7865186929702759,0.40625,2.0814003944396973,0.359375
757,0.7303423583507538,0.5078125,2.047959327697754,0.34375,0.8215869069099426,0.296875,2.1015679836273193,0.359375
759,0.7217387855052948,0.4921875,1.882434070110321,0.4609375,0.8254812955856323,0.359375,1.912703275680542,0.46875
761,0.7788894176483154,0.46875,1.97541081905365,0.359375,0.7406280636787415,0.453125,2.010305404663086,0.34375
762,0.6991927921772003,0.5625,1.882441759109497,0.4609375,0.8009277582168579,0.359375,1.9442766904830933,0.40625
766,0.669143557548523,0.609375,1.9575523734092712,0.328125,0.8520984649658203,0.296875,1.978410243988037,0.34375
774,0.7194502949714661,0.5234375,1.9090157747268677,0.453125,0.8478425741195679,0.34375,1.9671714305877686,0.28125
778,0.7079426944255829,0.53125,1.8803122639656067,0.484375,0.822429895401001,0.34375,1.8903406858444214,0.4375
779,0.7307254076004028,0.4921875,1.75942724943161,0.5546875,0.9573671221733093,0.171875,1.7110358476638794,0.546875
782,0.6776721775531769,0.609375,1.8754695653915405,0.3984375,0.801446795463562,0.359375,1.8803699016571045,0.328125
784,0.733697235584259,0.515625,1.779255747795105,0.4921875,0.8372108936309814,0.40625,1.808288812637329,0.484375
785,0.7735227346420288,0.4609375,1.669588327407837,0.609375,0.8664437532424927,0.296875,1.6484782695770264,0.546875
786,0.716087818145752,0.5234375,1.7248482704162598,0.5,0.8152685165405273,0.328125,1.7371190786361694,0.46875
789,0.7605095505714417,0.4296875,1.7282789945602417,0.578125,0.7844910621643066,0.390625,1.7551907300949097,0.5625
792,0.7061121463775635,0.5078125,1.6557373404502869,0.5625,0.8852527141571045,0.3125,1.7114202976226807,0.46875
795,0.7134402692317963,0.5546875,1.67599618434906,0.5703125,0.8192519545555115,0.328125,1.7764768600463867,0.453125
799,0.7231997549533844,0.5078125,1.5953016877174377,0.578125,0.8055115938186646,0.421875,1.5893607139587402,0.5625
804,0.7057030498981476,0.546875,1.6011102199554443,0.5390625,0.7973719835281372,0.296875,1.6294939517974854,0.515625
806,0.6781662106513977,0.5703125,1.5589966773986816,0.5703125,0.811703085899353,0.4375,1.620898723602295,0.484375
809,0.7492871880531311,0.453125,1.5280688405036926,0.59375,0.8157243728637695,0.34375,1.617213249206543,0.53125
814,0.7605593800544739,0.484375,1.4074506163597107,0.65625,0.8198789358139038,0.34375,1.458846092224121,0.625
817,0.6833199262619019,0.578125,1.538959801197052,0.5703125,0.8341952562332153,0.34375,1.6889687776565552,0.453125
818,0.7039355635643005,0.546875,1.4242868423461914,0.625,0.788144052028656,0.421875,1.5139667987823486,0.53125
821,0.7414056956768036,0.4921875,1.5543071031570435,0.484375,0.7899339199066162,0.34375,1.6928755044937134,0.4375
822,0.7385566234588623,0.4375,1.3191408514976501,0.65625,0.7923285961151123,0.421875,1.421445608139038,0.59375
824,0.7324208915233612,0.5390625,1.3620275855064392,0.5859375,0.8255257606506348,0.3125,1.4071812629699707,0.625
825,0.7005467116832733,0.5078125,1.39699125289917,0.609375,0.8063328266143799,0.40625,1.502760648727417,0.484375
827,0.6980882287025452,0.53125,1.335584580898285,0.671875,0.7411622405052185,0.4375,1.4466302394866943,0.625
828,0.7579368054866791,0.46875,1.2093643546104431,0.6796875,0.7806177139282227,0.46875,1.2457857131958008,0.59375
835,0.7150776386260986,0.53125,1.2925466299057007,0.6328125,0.8128448128700256,0.453125,1.3812403678894043,0.53125
837,0.7169464230537415,0.4765625,1.2189937829971313,0.6640625,0.8274502158164978,0.34375,1.4284453392028809,0.578125
839,0.7217870056629181,0.5078125,1.1057605743408203,0.765625,0.8680427074432373,0.296875,1.2328383922576904,0.625
840,0.7463139295578003,0.4296875,1.0608819723129272,0.7265625,0.8500325083732605,0.359375,1.0799462795257568,0.703125
847,0.7083325386047363,0.5390625,1.242286205291748,0.6328125,0.890352725982666,0.28125,1.3093938827514648,0.578125
848,0.7251356244087219,0.4609375,1.3415939211845398,0.5625,0.9156086444854736,0.265625,1.4158837795257568,0.59375
851,0.6862393021583557,0.5859375,1.1014989614486694,0.7265625,0.7879464626312256,0.453125,1.3601810932159424,0.59375
852,0.7171570658683777,0.5078125,1.206294596195221,0.640625,0.7957528829574585,0.4375,1.414270043373108,0.546875
856,0.727247953414917,0.46875,1.1393099427223206,0.625,0.7790307998657227,0.453125,1.1942721605300903,0.59375
864,0.6992967128753662,0.5078125,1.162421464920044,0.6328125,0.8327413201332092,0.328125,1.4306855201721191,0.5
865,0.710126668214798,0.5390625,1.2316771149635315,0.6015625,0.8648213148117065,0.34375,1.2034391164779663,0.59375
866,0.7404672801494598,0.484375,1.0928944945335388,0.6796875,0.7881879806518555,0.359375,1.1047213077545166,0.640625
870,0.6926811933517456,0.5625,1.05322265625,0.6953125,0.8415507078170776,0.375,1.262105941772461,0.640625
872,0.7797247767448425,0.4140625,0.9749477505683899,0.7109375,0.7974304556846619,0.40625,1.0990569591522217,0.640625
873,0.6848632097244263,0.546875,0.8665851354598999,0.7578125,0.8205863237380981,0.375,0.9777371883392334,0.703125
874,0.7545269429683685,0.5,0.7909494936466217,0.734375,0.7810810804367065,0.375,0.853602409362793,0.734375
878,0.7291085124015808,0.484375,1.222025215625763,0.6171875,0.8545138835906982,0.34375,1.3927760124206543,0.515625
879,0.736129492521286,0.5234375,0.9134400486946106,0.7265625,0.7958424091339111,0.40625,1.2497080564498901,0.59375
880,0.7767619788646698,0.421875,1.073012888431549,0.6796875,0.7832862138748169,0.390625,1.733112096786499,0.4375
884,0.7661307454109192,0.390625,1.0266271233558655,0.7109375,0.727927029132843,0.453125,1.399708867073059,0.546875
885,0.7723158001899719,0.46875,1.2041065096855164,0.609375,0.7556921243667603,0.46875,1.6120202541351318,0.484375
886,0.7882180213928223,0.359375,0.8391193747520447,0.765625,0.7077171802520752,0.53125,1.1330070495605469,0.625
888,0.8371015787124634,0.3515625,1.0736791491508484,0.640625,0.6731843948364258,0.59375,1.5005087852478027,0.515625
891,0.7693390548229218,0.40625,1.1241087913513184,0.625,0.7654761075973511,0.4375,1.400076985359192,0.515625
896,0.7092770040035248,0.5,0.9833570122718811,0.6640625,0.8122103214263916,0.34375,0.9302067756652832,0.78125
898,0.7283062934875488,0.453125,1.0081018805503845,0.71875,0.8374505043029785,0.28125,1.1607180833816528,0.5625
904,0.7005189061164856,0.59375,1.070542573928833,0.640625,0.8477083444595337,0.328125,1.222107172012329,0.609375
905,0.7087054550647736,0.515625,0.8541606962680817,0.78125,0.7464200258255005,0.46875,1.0320416688919067,0.640625
908,0.6976925432682037,0.6015625,1.0828556418418884,0.609375,0.8039109110832214,0.359375,1.2889459133148193,0.53125
912,0.7303825318813324,0.5078125,0.8748217523097992,0.734375,0.9083753824234009,0.203125,1.0723472833633423,0.6875
914,0.6807422041893005,0.578125,0.980324000120163,0.7109375,0.8037075996398926,0.359375,1.2317185401916504,0.625
915,0.7408377230167389,0.4609375,0.9284303784370422,0.6953125,0.8114619851112366,0.390625,1.1390132904052734,0.671875
916,0.7139557600021362,0.5078125,1.049343079328537,0.6796875,0.8207601308822632,0.34375,1.1875391006469727,0.578125
918,0.7265649735927582,0.4765625,1.008862853050232,0.671875,0.7410740852355957,0.390625,1.226284384727478,0.578125
920,0.7273054420948029,0.484375,0.95496466755867,0.6953125,0.7928451895713806,0.40625,1.0322614908218384,0.6875
923,0.787630021572113,0.3984375,0.8147230446338654,0.7578125,0.7826099395751953,0.375,0.9994527101516724,0.71875
924,0.7345461547374725,0.4921875,1.0126591920852661,0.625,0.8190047740936279,0.5,1.152047872543335,0.578125
925,0.7573348581790924,0.4765625,0.8774605393409729,0.6953125,0.7785667181015015,0.46875,0.8867530822753906,0.671875
928,0.7098459005355835,0.4765625,0.8754244446754456,0.7421875,0.736574113368988,0.4375,1.1673986911773682,0.5625
929,0.7307538390159607,0.5,0.8369668126106262,0.765625,0.7422980070114136,0.5,1.0278675556182861,0.6875
930,0.7048556208610535,0.5234375,0.8271405100822449,0.7265625,0.7705245018005371,0.40625,1.0403138399124146,0.578125
931,0.7532335519790649,0.3828125,0.975647509098053,0.6796875,0.7484057545661926,0.4375,1.189014196395874,0.640625
932,0.7322368621826172,0.453125,0.9565092027187347,0.71875,0.8112642765045166,0.34375,1.1109868288040161,0.640625
933,0.7592461705207825,0.421875,0.8176263570785522,0.7421875,0.7976369857788086,0.4375,1.0454940795898438,0.625
936,0.7656776607036591,0.40625,0.896975964307785,0.7109375,0.7795697450637817,0.421875,1.0776188373565674,0.59375
937,0.7396109402179718,0.4296875,0.7643208503723145,0.7890625,0.7221277356147766,0.46875,0.9036520719528198,0.671875
941,0.7125892639160156,0.5,0.8585346639156342,0.75,0.8050311207771301,0.34375,0.908674418926239,0.6875
943,0.7433145940303802,0.4609375,0.9287621378898621,0.703125,0.7610050439834595,0.421875,1.1034624576568604,0.65625
947,0.7123199701309204,0.5234375,0.9099194407463074,0.7421875,0.7882269024848938,0.390625,1.0938760042190552,0.671875
948,0.7160129547119141,0.4921875,0.7313550412654877,0.7578125,0.8037180304527283,0.34375,0.8350675106048584,0.6875
951,0.7169019281864166,0.53125,0.7984243333339691,0.71875,0.7823598980903625,0.359375,1.015781044960022,0.625
953,0.743418276309967,0.453125,0.7433301210403442,0.75,0.7648710012435913,0.453125,0.9647316932678223,0.65625
959,0.6963519155979156,0.546875,1.020583987236023,0.6328125,0.8671085834503174,0.328125,1.3040573596954346,0.5
964,0.7054660320281982,0.5,0.6881814002990723,0.8046875,0.8789224028587341,0.296875,0.7911365628242493,0.8125
967,0.7192224860191345,0.4765625,0.7978283166885376,0.75,0.7504890561103821,0.421875,0.9725205898284912,0.71875
968,0.7037117779254913,0.515625,0.8201685547828674,0.734375,0.7865079641342163,0.421875,0.9744969606399536,0.640625
970,0.7315219640731812,0.4453125,1.0012865364551544,0.65625,0.761554479598999,0.390625,1.1340640783309937,0.5625
971,0.7203800678253174,0.5,0.9282187819480896,0.7265625,0.7609552145004272,0.40625,1.0623271465301514,0.6875
974,0.7234839200973511,0.484375,0.8356844782829285,0.7734375,0.7422035932540894,0.4375,1.1078264713287354,0.671875
975,0.721296638250351,0.5078125,0.8990394473075867,0.734375,0.6936225891113281,0.5,0.8105825185775757,0.75
977,0.7159367799758911,0.5,0.8016127347946167,0.7734375,0.8009418845176697,0.421875,1.0853618383407593,0.625
979,0.7350436449050903,0.46875,0.9623676836490631,0.703125,0.716803789138794,0.546875,1.090571403503418,0.65625
980,0.7504189014434814,0.4140625,0.8781055808067322,0.71875,0.7486070990562439,0.453125,1.0869287252426147,0.625
982,0.7326055765151978,0.46875,0.8501913547515869,0.75,0.8353538513183594,0.265625,0.9767691493034363,0.703125
987,0.7259323596954346,0.453125,0.8129409849643707,0.7421875,0.8473659157752991,0.375,1.0350143909454346,0.640625
994,0.7126058042049408,0.5234375,0.8289476037025452,0.6875,0.8178009986877441,0.390625,0.9193931221961975,0.6875
998,0.6696563363075256,0.5625,0.7031382322311401,0.8046875,0.8023161888122559,0.390625,0.8979765176773071,0.671875
999,0.7006634771823883,0.5078125,0.689020037651062,0.7890625,0.7884987592697144,0.375,0.7984973192214966,0.734375
1001,0.7213042974472046,0.484375,0.7303730845451355,0.7734375,0.8080977201461792,0.390625,0.9285917282104492,0.65625
1003,0.7267801463603973,0.4609375,0.9788163900375366,0.671875,0.763555109500885,0.4375,1.180011510848999,0.578125
1004,0.730057567358017,0.4921875,0.7743423283100128,0.734375,0.7453361749649048,0.515625,0.9054053425788879,0.703125
1006,0.7171184420585632,0.4921875,0.8191114366054535,0.71875,0.7902082204818726,0.328125,1.0226882696151733,0.640625
1007,0.767051488161087,0.4296875,0.8600243330001831,0.7578125,0.7482610940933228,0.46875,0.9704720377922058,0.6875
1010,0.7248146235942841,0.4609375,0.8834490776062012,0.7109375,0.7642772197723389,0.4375,1.2381176948547363,0.546875
1015,0.6960018277168274,0.5078125,1.1153430342674255,0.6796875,0.8675312995910645,0.28125,1.4250504970550537,0.609375
1016,0.6909078061580658,0.5625,0.6564311385154724,0.796875,0.8061587810516357,0.359375,0.8419783115386963,0.703125
1017,0.7250263392925262,0.4765625,0.718536764383316,0.734375,0.7441614270210266,0.46875,0.8400622010231018,0.765625
1019,0.7039831876754761,0.53125,0.7294903099536896,0.75,0.7393337488174438,0.4375,0.9088972806930542,0.703125
1020,0.7439873516559601,0.453125,0.6030729115009308,0.796875,0.7362110614776611,0.453125,0.6178786754608154,0.78125
1021,0.7190971970558167,0.484375,0.7559111416339874,0.7265625,0.7173922061920166,0.453125,0.8545258045196533,0.734375
1024,0.7115621566772461,0.5078125,0.8460283875465393,0.7421875,0.7327256798744202,0.4375,1.0836901664733887,0.640625
1025,0.7216683328151703,0.515625,0.9119360744953156,0.6953125,0.7576883435249329,0.359375,1.066882848739624,0.640625
1026,0.7574309706687927,0.453125,0.4387192726135254,0.859375,0.7493371963500977,0.484375,0.5870177745819092,0.828125
1028,0.7393169105052948,0.4765625,0.8119946122169495,0.703125,0.747743546962738,0.453125,1.04078209400177,0.640625
1029,0.7384718358516693,0.4609375,0.7579377889633179,0.7734375,0.7617118954658508,0.375,1.0430444478988647,0.609375
1031,0.7005405724048615,0.5,0.6919037997722626,0.7890625,0.7043423652648926,0.390625,0.8317127227783203,0.71875
1032,0.7224844098091125,0.484375,0.7298261076211929,0.7578125,0.7762326598167419,0.40625,1.0032076835632324,0.671875
1033,0.758287250995636,0.40625,0.6774075627326965,0.7578125,0.7701082825660706,0.46875,0.8547238707542419,0.6875
1034,0.7575706839561462,0.390625,0.7281396687030792,0.796875,0.7024409770965576,0.53125,1.0785980224609375,0.671875
1036,0.7203090190887451,0.484375,0.8062714040279388,0.75,0.7715466618537903,0.421875,1.1004197597503662,0.625
1038,0.7325417995452881,0.4609375,0.7596031725406647,0.7734375,0.7906990051269531,0.328125,1.0659759044647217,0.65625
1041,0.7582910656929016,0.3671875,0.7275362312793732,0.765625,0.776355504989624,0.34375,0.9353107810020447,0.6875
1042,0.7237916588783264,0.4609375,0.8278053402900696,0.7109375,0.7511495351791382,0.40625,1.3166073560714722,0.609375
1043,0.741145133972168,0.4609375,0.7479808926582336,0.7578125,0.7115932703018188,0.515625,0.9633443355560303,0.75
1046,0.7053945958614349,0.546875,0.897193968296051,0.734375,0.7789149284362793,0.421875,1.0249152183532715,0.671875
1047,0.719849556684494,0.484375,0.660296231508255,0.796875,0.7444144487380981,0.46875,0.7342227697372437,0.765625
1051,0.7308653295040131,0.4375,0.7425994277000427,0.765625,0.7802496552467346,0.40625,0.9063855409622192,0.640625
1054,0.710671603679657,0.515625,0.8194504082202911,0.75,0.796582818031311,0.4375,0.8766443729400635,0.75
1055,0.7051997780799866,0.5078125,0.7268753051757812,0.765625,0.763698399066925,0.40625,0.8917163610458374,0.71875
1056,0.7313574552536011,0.4609375,0.5717916190624237,0.828125,0.7236684560775757,0.515625,0.8314511179924011,0.765625
1060,0.6911264061927795,0.5859375,0.6532927602529526,0.7734375,0.7529019117355347,0.421875,0.8830755949020386,0.6875
1062,0.7185679078102112,0.4609375,0.7762139141559601,0.7265625,0.7714649438858032,0.40625,1.0493260622024536,0.6875
1068,0.691978931427002,0.5546875,0.6796219050884247,0.78125,0.7800569534301758,0.359375,0.7780006527900696,0.703125
1069,0.7101422250270844,0.46875,0.8085059225559235,0.7109375,0.7662383317947388,0.421875,0.9560308456420898,0.703125
1072,0.7188156545162201,0.453125,0.5803574919700623,0.875,0.7942709922790527,0.296875,0.7684038877487183,0.734375
1075,0.6777078807353973,0.6171875,0.6068344116210938,0.8046875,0.7992083430290222,0.3125,0.8033562302589417,0.734375
1076,0.7591543197631836,0.3671875,0.5374035537242889,0.8984375,0.7201677560806274,0.515625,0.733308732509613,0.796875
1078,0.7248806059360504,0.4453125,0.6242513358592987,0.8046875,0.7885404825210571,0.390625,0.9323387145996094,0.703125
1079,0.7423111796379089,0.421875,0.6003211140632629,0.8359375,0.7095280289649963,0.515625,0.7320536375045776,0.78125
1081,0.6829633116722107,0.546875,0.7525954693555832,0.7734375,0.7355368137359619,0.453125,0.8675639629364014,0.6875
1083,0.7192140817642212,0.4921875,0.8065464198589325,0.7265625,0.7992936968803406,0.375,1.094788908958435,0.59375
1085,0.7330204248428345,0.4609375,0.6267885863780975,0.8125,0.7657533884048462,0.40625,0.8457050323486328,0.71875
1086,0.7097228765487671,0.515625,0.6698516309261322,0.8203125,0.7529075145721436,0.390625,0.8386591672897339,0.71875
1087,0.7389420568943024,0.40625,0.681304544210434,0.765625,0.7287428379058838,0.4375,0.7974620461463928,0.75
1088,0.7404977083206177,0.4375,0.7166695594787598,0.7734375,0.7462091445922852,0.515625,1.2880308628082275,0.578125
1092,0.7240611910820007,0.5,0.6333639323711395,0.828125,0.8404239416122437,0.203125,0.9664092063903809,0.75
1095,0.7335095107555389,0.4375,0.7993274629116058,0.734375,0.785544216632843,0.3125,0.9298903942108154,0.75
1099,0.7269051373004913,0.4453125,0.6181312799453735,0.7890625,0.7449801564216614,0.4375,0.6907718181610107,0.78125
1101,0.7234194576740265,0.46875,0.6623288542032242,0.7734375,0.7038069367408752,0.53125,0.8430360555648804,0.703125
1103,0.7358447909355164,0.4140625,0.5198089778423309,0.84375,0.753404974937439,0.375,0.6461305022239685,0.8125
1105,0.6937445104122162,0.5078125,0.7142918705940247,0.765625,0.7557302117347717,0.4375,1.0463392734527588,0.640625
1108,0.7009311318397522,0.546875,0.8319780975580215,0.71875,0.771494448184967,0.375,1.0185154676437378,0.6875
1109,0.7050279974937439,0.53125,0.7811540961265564,0.7890625,0.7122693657875061,0.5,1.1579835414886475,0.59375
1110,0.7303793430328369,0.4609375,0.8252405226230621,0.765625,0.7294803857803345,0.421875,0.9659326076507568,0.6875
1111,0.7388411164283752,0.484375,0.7344434261322021,0.78125,0.6674442291259766,0.578125,1.1055102348327637,0.578125
1112,0.7840832769870758,0.3515625,0.6256531029939651,0.796875,0.617326021194458,0.78125,1.025435209274292,0.65625
1113,0.774482399225235,0.375,0.5729167312383652,0.796875,0.6434953212738037,0.671875,0.7698240280151367,0.8125
1115,0.736704558134079,0.4765625,0.6282645016908646,0.8125,0.7319827675819397,0.4375,0.7569807171821594,0.734375
1116,0.705608457326889,0.484375,0.546348974108696,0.8359375,0.7315670847892761,0.4375,0.8061090707778931,0.6875
1118,0.742462158203125,0.40625,0.7228997498750687,0.75,0.7386963367462158,0.421875,1.0109591484069824,0.609375
1120,0.6974359452724457,0.4765625,0.6140193939208984,0.8125,0.7846213579177856,0.34375,0.8675624132156372,0.734375
1123,0.738519698381424,0.4609375,0.6414686441421509,0.7890625,0.7580817937850952,0.4375,0.778862714767456,0.8125
1124,0.7253187894821167,0.484375,0.7061503082513809,0.7734375,0.7168875932693481,0.53125,1.058526873588562,0.734375
1125,0.7425107359886169,0.4140625,0.6547603011131287,0.8125,0.7020184993743896,0.515625,0.8778423070907593,0.75
1127,0.7022355198860168,0.484375,0.7699880599975586,0.7421875,0.7283228635787964,0.453125,1.1514651775360107,0.640625
1128,0.7086733877658844,0.5078125,0.6426911652088165,0.78125,0.7129960060119629,0.375,0.9145650863647461,0.671875
1129,0.7166796922683716,0.4765625,0.5804316401481628,0.8125,0.7071280479431152,0.5,0.669023871421814,0.78125
1132,0.7056891620159149,0.5390625,0.6332732439041138,0.8046875,0.7421404123306274,0.4375,0.886692225933075,0.6875
1135,0.7235777080059052,0.5078125,0.8625748455524445,0.7265625,0.7571616172790527,0.40625,1.1194145679473877,0.625
1137,0.7036315202713013,0.53125,0.8187381625175476,0.7734375,0.7485796213150024,0.453125,0.9679479002952576,0.71875
1139,0.7265971004962921,0.5078125,0.8096169233322144,0.7734375,0.7381021976470947,0.40625,0.9204349517822266,0.75
1140,0.7480010986328125,0.4375,0.6752826273441315,0.8046875,0.7506822943687439,0.421875,0.9672914147377014,0.75
