epoch,d_real_auth_acc,d_real_class_acc,d_fake_auth_acc,d_fake_class_acc,g_auth_acc,g_class_acc,cnn_accuracy
90,1.0,0.796875,1.0,0.40625,0.96875,0.453125,0.234375
91,1.0,0.765625,1.0,0.375,0.953125,0.484375,0.25
92,0.953125,0.8125,1.0,0.390625,1.0,0.65625,0.28125
93,1.0,0.796875,1.0,0.421875,1.0,0.46875,0.21875
94,0.984375,0.796875,1.0,0.328125,0.984375,0.515625,0.25
95,0.953125,0.859375,1.0,0.390625,1.0,0.5,0.28125
96,1.0,0.8125,1.0,0.40625,0.96875,0.421875,0.25
97,0.984375,0.796875,1.0,0.375,0.984375,0.4375,0.203125
98,1.0,0.8125,1.0,0.4375,0.984375,0.546875,0.21875
99,1.0,0.671875,1.0,0.375,0.984375,0.578125,0.1875
100,1.0,0.84375,0.984375,0.390625,1.0,0.359375,0.203125
101,1.0,0.84375,1.0,0.390625,0.96875,0.40625,0.25
102,1.0,0.75,0.984375,0.265625,0.96875,0.40625,0.21875
103,0.984375,0.828125,1.0,0.4375,0.875,0.5625,0.234375
104,1.0,0.765625,1.0,0.359375,0.96875,0.546875,0.21875
105,1.0,0.8125,1.0,0.421875,0.953125,0.515625,0.25
106,0.96875,0.828125,1.0,0.3125,1.0,0.5,0.21875
107,1.0,0.6875,1.0,0.375,1.0,0.515625,0.28125
108,1.0,0.765625,1.0,0.390625,0.90625,0.640625,0.265625
109,0.953125,0.625,1.0,0.34375,1.0,0.53125,0.21875
110,1.0,0.84375,0.984375,0.46875,0.984375,0.515625,0.234375
111,1.0,0.75,0.984375,0.34375,0.90625,0.59375,0.15625
112,0.90625,0.8125,1.0,0.375,1.0,0.421875,0.203125
113,1.0,0.859375,1.0,0.53125,0.984375,0.515625,0.265625
114,0.96875,0.796875,0.984375,0.421875,1.0,0.4375,0.234375
115,1.0,0.796875,1.0,0.453125,0.90625,0.515625,0.21875
116,0.984375,0.84375,1.0,0.421875,1.0,0.390625,0.265625
117,1.0,0.859375,1.0,0.484375,1.0,0.5,0.1875
118,1.0,0.8125,1.0,0.34375,0.984375,0.46875,0.25
119,1.0,0.828125,0.984375,0.46875,1.0,0.59375,0.15625
120,1.0,0.734375,1.0,0.34375,0.9375,0.46875,0.28125
121,0.984375,0.796875,0.984375,0.296875,0.984375,0.53125,0.140625
122,0.984375,0.765625,0.984375,0.4375,0.90625,0.59375,0.3125
123,0.953125,0.828125,0.96875,0.484375,1.0,0.46875,0.34375
124,0.953125,0.765625,0.9375,0.453125,0.953125,0.4375,0.171875
125,0.984375,0.828125,1.0,0.359375,0.984375,0.53125,0.140625
126,0.96875,0.734375,0.96875,0.4375,1.0,0.515625,0.21875
127,1.0,0.90625,0.984375,0.453125,0.984375,0.546875,0.203125
128,0.984375,0.84375,1.0,0.453125,0.96875,0.59375,0.265625
129,1.0,0.828125,0.984375,0.53125,0.953125,0.46875,0.296875
130,0.9375,0.90625,0.984375,0.40625,0.96875,0.515625,0.1875
131,0.984375,0.796875,1.0,0.375,1.0,0.453125,0.25
132,0.96875,0.8125,0.96875,0.46875,0.984375,0.46875,0.453125
133,0.984375,0.8125,1.0,0.40625,0.96875,0.546875,0.21875
134,0.96875,0.859375,1.0,0.40625,1.0,0.5625,0.140625
135,0.984375,0.75,0.9375,0.40625,0.984375,0.46875,0.1875
136,0.984375,0.890625,0.984375,0.515625,1.0,0.421875,0.296875
137,1.0,0.84375,0.96875,0.421875,0.984375,0.515625,0.34375
138,0.9375,0.859375,0.984375,0.390625,0.96875,0.484375,0.21875
139,1.0,0.8125,0.984375,0.484375,0.984375,0.453125,0.28125
140,0.921875,0.828125,0.96875,0.359375,1.0,0.53125,0.296875
141,1.0,0.859375,0.984375,0.421875,1.0,0.546875,0.375
142,0.984375,0.734375,1.0,0.359375,0.953125,0.546875,0.1875
143,0.921875,0.828125,0.984375,0.375,1.0,0.625,0.171875
144,1.0,0.828125,0.984375,0.359375,0.96875,0.546875,0.1875
145,0.96875,0.84375,0.984375,0.40625,0.984375,0.5,0.296875
146,1.0,0.828125,0.984375,0.421875,0.984375,0.390625,0.28125
147,0.9375,0.859375,0.90625,0.625,0.96875,0.609375,0.421875
148,0.984375,0.8125,1.0,0.53125,0.953125,0.5,0.296875
149,0.9375,0.78125,0.921875,0.46875,0.984375,0.515625,0.328125
150,0.984375,0.890625,0.96875,0.40625,0.953125,0.5625,0.28125
151,0.921875,0.796875,0.921875,0.390625,1.0,0.46875,0.3125
152,0.96875,0.8125,0.953125,0.34375,0.96875,0.53125,0.234375
153,0.984375,0.796875,0.984375,0.4375,1.0,0.578125,0.234375
154,0.96875,0.875,0.984375,0.484375,0.953125,0.453125,0.265625
155,0.96875,0.828125,0.9375,0.546875,0.9375,0.546875,0.359375
156,0.96875,0.78125,0.96875,0.375,0.953125,0.484375,0.265625
157,0.984375,0.859375,0.953125,0.5625,0.96875,0.515625,0.171875
158,0.953125,0.84375,0.984375,0.421875,0.984375,0.453125,0.234375
159,0.953125,0.890625,0.96875,0.40625,0.984375,0.65625,0.234375
160,1.0,0.78125,1.0,0.46875,0.9375,0.5625,0.25
161,0.9375,0.875,0.9375,0.25,1.0,0.5625,0.15625
162,0.984375,0.84375,0.953125,0.484375,0.96875,0.53125,0.3125
163,0.953125,0.8125,1.0,0.28125,0.96875,0.59375,0.1875
164,0.984375,0.828125,0.96875,0.515625,1.0,0.5625,0.390625
165,0.9375,0.90625,0.96875,0.609375,1.0,0.5,0.3125
166,0.953125,0.890625,0.984375,0.453125,0.984375,0.578125,0.28125
167,0.96875,0.8125,0.921875,0.46875,0.96875,0.375,0.234375
168,0.96875,0.859375,0.921875,0.453125,0.96875,0.4375,0.328125
169,0.953125,0.859375,0.953125,0.40625,0.984375,0.484375,0.296875
170,0.984375,0.859375,0.953125,0.53125,0.96875,0.515625,0.359375
171,0.953125,0.921875,0.953125,0.5625,0.96875,0.578125,0.28125
172,0.984375,0.828125,0.953125,0.4375,0.96875,0.421875,0.28125
173,0.984375,0.875,1.0,0.59375,0.984375,0.59375,0.28125
174,0.9375,0.921875,0.90625,0.46875,1.0,0.421875,0.296875
175,0.9375,0.84375,0.9375,0.5,0.984375,0.59375,0.265625
176,0.984375,0.828125,0.984375,0.59375,0.984375,0.5,0.203125
177,0.953125,0.859375,0.96875,0.4375,1.0,0.4375,0.28125
178,0.984375,0.84375,0.96875,0.390625,0.96875,0.53125,0.296875
179,0.890625,0.765625,0.9375,0.53125,1.0,0.5,0.28125
180,0.96875,0.859375,0.96875,0.34375,1.0,0.515625,0.21875
181,0.953125,0.859375,0.984375,0.46875,0.984375,0.53125,0.234375
182,1.0,0.734375,0.984375,0.34375,0.984375,0.5625,0.265625
183,0.953125,0.703125,0.875,0.40625,0.984375,0.671875,0.203125
184,0.953125,0.796875,0.953125,0.4375,0.984375,0.65625,0.265625
185,0.953125,0.828125,0.953125,0.515625,0.953125,0.609375,0.28125
186,0.921875,0.90625,0.9375,0.4375,1.0,0.578125,0.484375
187,0.96875,0.921875,0.9375,0.609375,0.984375,0.578125,0.375
188,0.90625,0.859375,0.890625,0.484375,1.0,0.59375,0.28125
189,0.984375,0.8125,1.0,0.375,0.96875,0.53125,0.171875
190,0.9375,0.859375,0.921875,0.46875,1.0,0.609375,0.296875
191,0.953125,0.828125,0.953125,0.515625,0.984375,0.53125,0.265625
192,0.984375,0.84375,0.96875,0.421875,0.9375,0.46875,0.328125
193,0.921875,0.859375,0.921875,0.453125,1.0,0.515625,0.28125
194,0.953125,0.875,0.90625,0.515625,1.0,0.53125,0.390625
195,0.953125,0.875,0.921875,0.515625,0.96875,0.40625,0.34375
196,0.953125,0.875,0.984375,0.484375,0.96875,0.53125,0.390625
197,0.953125,0.8125,0.921875,0.359375,0.984375,0.546875,0.28125
198,0.984375,0.921875,0.984375,0.5,0.96875,0.5625,0.296875
199,0.921875,0.78125,0.921875,0.453125,0.984375,0.453125,0.328125
200,0.953125,0.84375,0.890625,0.46875,1.0,0.578125,0.328125
201,0.953125,0.8125,0.953125,0.5625,0.984375,0.546875,0.28125
202,0.875,0.859375,0.84375,0.515625,0.984375,0.53125,0.34375
203,0.90625,0.828125,0.96875,0.34375,1.0,0.546875,0.234375
204,0.96875,0.828125,0.890625,0.484375,1.0,0.484375,0.25
205,0.953125,0.890625,0.90625,0.484375,0.984375,0.578125,0.375
206,0.890625,0.890625,0.953125,0.53125,0.984375,0.59375,0.296875
207,1.0,0.828125,0.9375,0.5,0.96875,0.484375,0.359375
208,0.90625,0.875,0.984375,0.453125,1.0,0.5625,0.234375
209,0.953125,0.890625,0.96875,0.546875,0.921875,0.5,0.296875
210,0.9375,0.859375,0.953125,0.53125,0.984375,0.59375,0.296875
211,0.953125,0.84375,0.8125,0.515625,0.984375,0.515625,0.296875
212,0.890625,0.890625,0.9375,0.5,1.0,0.671875,0.359375
213,0.953125,0.890625,0.859375,0.5,0.96875,0.546875,0.375
214,0.9375,0.859375,0.90625,0.453125,0.921875,0.515625,0.359375
215,0.90625,0.875,0.921875,0.515625,1.0,0.515625,0.3125
216,0.96875,0.828125,0.984375,0.59375,0.984375,0.578125,0.3125
217,0.9375,0.875,0.796875,0.546875,0.96875,0.578125,0.328125
218,0.96875,0.8125,0.90625,0.53125,0.96875,0.53125,0.421875
219,0.84375,0.875,0.90625,0.484375,1.0,0.671875,0.421875
220,0.96875,0.84375,0.921875,0.515625,1.0,0.578125,0.40625
221,0.875,0.875,0.890625,0.59375,1.0,0.515625,0.453125
