Epoch,GeneratorLoss,MSE,PSNR
0,1.2049199342727661,0.865850031375885,0.6255732297805665
1,1.1359739303588867,0.8580175638198853,0.6650382195084631
2,1.1084671020507812,0.8496556878089905,0.7075703096649323
3,1.0688029527664185,0.8391936421394348,0.7613781508406448
4,1.0462441444396973,0.8275477886199951,0.8220691751031362
5,1.0188554525375366,0.8207511901855469,0.8578847882019931
6,0.989961564540863,0.815342128276825,0.8866011734054086
7,0.9704309701919556,0.8018456101417542,0.9590924408261434
8,0.9634546041488647,0.7941365242004395,1.0010482929830684
9,0.9325075745582581,0.7863922715187073,1.0436076330063087
10,0.8895455002784729,0.7783514261245728,1.0882427451808165
11,0.8903568983078003,0.767359733581543,1.150009936992776
12,0.8777811527252197,0.7613563537597656,1.1841202358758889
13,0.8523468375205994,0.75258868932724,1.234423129888871
14,0.8469461798667908,0.7482066750526428,1.2597842160480406
15,0.8258007764816284,0.7432478070259094,1.2886636351952854
16,0.8067007064819336,0.7322064638137817,1.3536644154808697
17,0.7919295430183411,0.7311043739318848,1.3602061786171977
18,0.7596113085746765,0.717230498790741,1.4434125121400805
19,0.7467814087867737,0.7135078310966492,1.4660125592929487
20,0.7130081653594971,0.709818959236145,1.4885240484518223
21,0.705743134021759,0.7044677138328552,1.5213890606852014
22,0.6716188788414001,0.696933925151825,1.5680839450200947
23,0.6511521339416504,0.6934074759483337,1.5901148032368637
24,0.6345508098602295,0.6922412514686584,1.5974252415283918
25,0.6125882863998413,0.682106077671051,1.66148080820353
26,0.5921022295951843,0.6700018048286438,1.7392402740952422
27,0.565205454826355,0.6670522093772888,1.7584017304432955
28,0.5503557324409485,0.6547917723655701,1.8389678625258419
29,0.5377082228660583,0.6398196816444397,1.9394240461123373
30,0.5242251753807068,0.6409506797790527,1.931753875231204
31,0.5134127736091614,0.6315047740936279,1.9962336188666863
32,0.5132120847702026,0.6304652094841003,2.0033887379502935
33,0.47888416051864624,0.6182863116264343,2.088103683335875
34,0.49015098810195923,0.6085649728775024,2.1569304790915242
35,0.46912625432014465,0.6004627346992493,2.215139401622792
36,0.4674766957759857,0.5900934338569641,2.29079217856431
37,0.46229639649391174,0.5870921611785889,2.3129371825904355
38,0.4365066885948181,0.5814563632011414,2.354828723922044
39,0.44545215368270874,0.5807506442070007,2.3601029977931463
40,0.44125837087631226,0.5653066039085388,2.477159410845742
41,0.4272003173828125,0.5483889579772949,2.6091129848100976
42,0.41455310583114624,0.5506107807159424,2.591552895652664
43,0.4089668095111847,0.5254611968994141,2.7945934927355736
44,0.40814822912216187,0.5401552319526672,2.6748141296900014
45,0.40510255098342896,0.5355823636054993,2.711737324720533
46,0.3933972716331482,0.5149738788604736,2.8821479921989908
47,0.376247376203537,0.5219178199768066,2.823978746611637
48,0.3836114704608917,0.5253170728683472,2.7957848434438133
49,0.372284859418869,0.5049900412559509,2.967171863768498
50,0.36819714307785034,0.502302348613739,2.990347912061636
51,0.3718397319316864,0.49326372146606445,3.069208248307441
52,0.36025846004486084,0.4833379089832306,3.1574914109828334
53,0.3658176362514496,0.4857354462146759,3.1360020302534224
54,0.34270283579826355,0.4758252203464508,3.2255254261187654
55,0.3610234558582306,0.4819446802139282,3.170028091815482
56,0.3550652861595154,0.48999878764152527,3.0980499450464354
57,0.34187448024749756,0.46934282779693604,3.2850981436361653
58,0.32430416345596313,0.4649367332458496,3.326061401671876
59,0.3333621919155121,0.476604163646698,3.2184216794657687
60,0.3426591157913208,0.4712200462818146,3.267762424051858
61,0.3358675539493561,0.4638884663581848,3.3358642519468145
62,0.3277093172073364,0.4489244222640991,3.478267675855962
63,0.32502710819244385,0.4472443461418152,3.4945514087781984
64,0.3209262788295746,0.46202749013900757,3.353321836202871
65,0.3128286600112915,0.460674524307251,3.3660580393725064
66,0.3081057071685791,0.44045373797416687,3.5609969995937396
67,0.30147767066955566,0.42788952589035034,3.6866834427955824
68,0.30096957087516785,0.41442251205444336,3.8255666109228925
69,0.2989134192466736,0.43945905566215515,3.5708158186059387
70,0.29462599754333496,0.41838860511779785,3.7842015206107744
71,0.29378944635391235,0.4305110573768616,3.660156895155884
72,0.28666290640830994,0.4117037355899811,3.8541519241773075
73,0.28593751788139343,0.42657917737960815,3.7000034759695835
74,0.2846122682094574,0.4051307439804077,3.9240479844955534
75,0.2847804129123688,0.4098784327507019,3.8734493307111215
