Epoch,GeneratorLoss,MSE,PSNR,CNN_CE,CNN_Acc
0,1.2184629440307617,1.1571134328842163,-0.6337593532248482,2.2848734855651855,0.25
1,1.1540776491165161,1.0988229513168335,-0.4092772203188306,2.308211088180542,0.21875
2,1.10618257522583,1.0544010400772095,-0.23005825644822783,2.420254707336426,0.09375
3,1.0453612804412842,1.0014290809631348,-0.0062019892472,2.6091246604919434,0.125
4,1.0041718482971191,0.9639692306518555,0.15936828308141862,2.5538432598114014,0.125
5,0.9694732427597046,0.9295735359191895,0.31716248731566643,2.408642530441284,0.09375
6,0.9210237264633179,0.8601532578468323,0.6542416142241412,2.368852138519287,0.09375
7,0.8586719036102295,0.7479743361473083,1.2611330301898314,2.4815659523010254,0.0625
8,0.7503262162208557,0.5957940816879272,2.24903815157634,3.3926830291748047,0.03125
9,0.5801383852958679,0.4543675482273102,3.4259269430648214,3.983027458190918,0.1875
10,0.4915301203727722,0.47082188725471497,3.2714335616632533,5.5311479568481445,0.125
11,0.4789893627166748,0.4672894775867462,3.304139982983138,5.62032413482666,0.15625
12,0.5109081864356995,0.5022037029266357,2.9912008940351056,6.115211486816406,0.1875
13,0.47582074999809265,0.4685915410518646,3.2920555549077606,5.719011306762695,0.09375
14,0.4409147799015045,0.43501272797584534,3.614980358986783,5.181054592132568,0.28125
15,0.5265319347381592,0.5220215916633606,2.8231153349903466,6.803159713745117,0.0625
16,0.4852765202522278,0.48153969645500183,3.173679053395752,6.61005973815918,0.09375
17,0.4881165623664856,0.4852692484855652,3.1401722905599043,7.174245834350586,0.0625
18,0.4246276617050171,0.42249706387519836,3.741763048142422,6.346753120422363,0.125
19,0.43039050698280334,0.42891061305999756,3.6763320734831986,6.417596340179443,0.1875
20,0.5071721076965332,0.5060864090919495,2.9577532547648144,7.079702377319336,0.09375
21,0.4287259578704834,0.42788204550743103,3.686759367005572,7.211672306060791,0.09375
22,0.46860361099243164,0.4678139090538025,3.2992686988147444,6.901515483856201,0.0625
23,0.44506096839904785,0.4439983665943146,3.5261862758894043,7.206419467926025,0.09375
24,0.45337337255477905,0.4516017735004425,3.452443612113225,6.834322929382324,0.125
25,0.45631080865859985,0.45054107904434204,3.4626560515342764,7.049568176269531,0.0625
26,0.4063439965248108,0.3892880380153656,4.097289410127255,5.7586774826049805,0.1875
27,0.392499178647995,0.3613775670528412,4.4203881029071095,4.70175838470459,0.15625
28,0.35998037457466125,0.32371100783348083,4.89842532107917,4.031381607055664,0.0625
29,0.3636621832847595,0.3387279808521271,4.701489266864746,3.7871463298797607,0.0
30,0.3665848970413208,0.351500928401947,4.5407352356219395,3.012104034423828,0.09375
31,0.31157469749450684,0.2920322120189667,5.3456924194021855,3.1771631240844727,0.03125
