epoch,d_loss,g_loss,psnr
220,0,0,6.58748887279157
221,0,0,5.724874351669839
222,0,0,6.059911184853747
223,0,0,6.331845851256129
224,0,0,6.430717555400317
225,0,0,6.546373536852008
226,0,0,6.11353098985325
227,0,0,6.180558745444962
228,0,0,6.680551817998079
229,0,0,6.4731352723783715
230,0,0,6.134908392182733
231,0,0,6.320746920041172
232,0,0,6.397068896533638
233,0,0,6.756234668814864
234,0,0,6.579226835034538
235,0,0,6.394771579949722
236,0,0,5.795002299629526
237,0,0,6.420887686838873
238,0,0,6.492818551199303
239,0,0,6.735310106041154
240,0,0,6.833370648932134
241,0,0,6.424799236371543
242,0,0,6.5326528229168455
243,0,0,5.834691872461414
244,0,0,6.4743687762401425
245,0,0,7.2655402766816835
246,0,0,6.7441068599871725
247,0,0,6.5548176846771655
248,0,0,7.061652922054064
249,0,0,7.046523846176729
250,0,0,6.1176516206936125
251,0,0,6.791821449764106
252,0,0,6.397157822033225
253,0,0,6.671897468044474
254,0,0,6.971131924216354
255,0,0,6.758455918959914
256,0,0,7.3921272456585445
257,0,0,6.706008010021838
258,0,0,7.601571028810385
259,0,0,6.423742765076769
260,0,0,7.142469390156276
261,0,0,6.602506400713929
262,0,0,7.209497028035731
263,0,0,6.627715993520498
264,0,0,7.134648454297552
265,0,0,6.4267213720930725
266,0,0,6.965322462954353
267,0,0,7.439357655437605
268,0,0,6.980374224236099
269,0,0,6.718628271211468
270,0,0,7.044743077646417
271,0,0,7.140596588308366
272,0,0,7.731085178988377
273,0,0,7.135425698230849
274,0,0,6.785871370321765
275,0,0,7.103886139916018
276,0,0,7.417990639431338
277,0,0,6.804481532092755
278,0,0,6.552504754498219
279,0,0,7.5617426083329065
280,0,0,6.866422837792503
281,0,0,6.542997900344796
282,0,0,7.059070208916759
283,0,0,6.642918922272779
284,0,0,6.911698698567493
285,0,0,7.440216881212095
286,0,0,7.213037320767073
287,0,0,7.171399293199375
288,0,0,6.603883790900084
289,0,0,7.0567499384717465
290,0,0,6.9812318795824595
291,0,0,6.626631912453642
292,0,0,6.829151706758934
293,0,0,6.93609167561744
294,0,0,7.221850009854225
295,0,0,7.21829434330962
296,0,0,6.809417778628246
297,0,0,7.115955259853295
298,0,0,5.951762571339719
299,0,0,7.4872691877924495
300,0,0,7.717337882300123
301,0,0,7.20196499899548
302,0,0,7.596489337836324
303,0,0,6.827706297775649
304,0,0,7.51518997510638
305,0,0,7.251381356272713
306,0,0,7.240493779116149
307,0,0,7.554217783080422
308,0,0,7.671903821860369
309,0,0,7.357391165937267
310,0,0,7.798655365185496
311,0,0,7.207714183886955
312,0,0,7.1707511972411755
313,0,0,7.715107166789503
314,0,0,6.758040536732331
315,0,0,7.22917899523698
316,0,0,7.613640628002775
317,0,0,7.840858360895884
318,0,0,7.682433671406667
