epoch,d_real_auth_acc,d_real_class_acc,d_fake_auth_acc,d_fake_class_acc,g_auth_acc,g_class_acc,cnn_accuracy
91,1.0,0.796875,1.0,0.140625,0.015625,0.109375,0.140625
92,1.0,0.796875,1.0,0.125,0.015625,0.140625,0.203125
93,1.0,0.84375,1.0,0.140625,0.03125,0.09375,0.046875
94,1.0,0.796875,1.0,0.109375,0.078125,0.078125,0.171875
95,1.0,0.90625,1.0,0.09375,0.0625,0.1875,0.09375
96,1.0,0.8125,1.0,0.078125,0.09375,0.15625,0.109375
97,1.0,0.765625,1.0,0.109375,0.03125,0.09375,0.109375
98,1.0,0.8125,1.0,0.109375,0.015625,0.140625,0.0625
99,1.0,0.890625,1.0,0.0625,0.015625,0.1875,0.0625
100,1.0,0.765625,1.0,0.109375,0.015625,0.125,0.171875
101,1.0,0.8125,1.0,0.140625,0.0625,0.203125,0.0625
102,1.0,0.921875,1.0,0.15625,0.03125,0.21875,0.0625
103,1.0,0.921875,1.0,0.09375,0.03125,0.109375,0.046875
104,1.0,0.796875,1.0,0.1875,0.015625,0.125,0.03125
105,0.984375,0.8125,1.0,0.140625,0.21875,0.234375,0.078125
106,1.0,0.796875,1.0,0.109375,0.3125,0.125,0.140625
107,1.0,0.859375,1.0,0.140625,0.484375,0.21875,0.0625
108,1.0,0.8125,1.0,0.09375,0.5,0.140625,0.078125
109,1.0,0.859375,1.0,0.09375,0.328125,0.15625,0.078125
110,1.0,0.828125,1.0,0.09375,0.78125,0.109375,0.109375
111,1.0,0.8125,1.0,0.015625,0.875,0.1875,0.109375
112,1.0,0.828125,1.0,0.140625,0.5,0.15625,0.1875
113,1.0,0.859375,1.0,0.078125,0.390625,0.15625,0.140625
114,1.0,0.796875,1.0,0.125,0.09375,0.203125,0.09375
115,1.0,0.921875,1.0,0.09375,0.125,0.234375,0.109375
116,1.0,0.890625,1.0,0.125,0.0625,0.203125,0.109375
117,1.0,0.90625,1.0,0.0625,0.265625,0.21875,0.09375
118,1.0,0.890625,1.0,0.09375,0.796875,0.25,0.15625
119,1.0,0.8125,1.0,0.078125,0.890625,0.171875,0.078125
120,1.0,0.828125,1.0,0.046875,0.984375,0.203125,0.125
121,1.0,0.84375,1.0,0.140625,0.765625,0.203125,0.09375
122,1.0,0.875,1.0,0.09375,0.71875,0.140625,0.203125
123,1.0,0.921875,1.0,0.078125,0.90625,0.3125,0.015625
124,1.0,0.796875,1.0,0.125,0.984375,0.15625,0.0625
125,1.0,0.859375,1.0,0.140625,0.96875,0.203125,0.078125
126,1.0,0.875,1.0,0.09375,0.96875,0.25,0.140625
127,1.0,0.875,1.0,0.046875,0.84375,0.28125,0.09375
128,1.0,0.84375,1.0,0.140625,0.890625,0.15625,0.078125
129,1.0,0.859375,1.0,0.109375,0.921875,0.203125,0.078125
130,1.0,0.859375,1.0,0.109375,0.390625,0.203125,0.109375
131,1.0,0.765625,1.0,0.203125,0.765625,0.234375,0.125
132,1.0,0.9375,1.0,0.125,0.96875,0.3125,0.0625
133,1.0,0.859375,1.0,0.0625,0.765625,0.171875,0.1875
134,1.0,0.859375,1.0,0.03125,0.578125,0.359375,0.140625
135,1.0,0.875,1.0,0.140625,0.84375,0.3125,0.171875
136,1.0,0.828125,1.0,0.09375,0.96875,0.28125,0.09375
137,1.0,0.875,1.0,0.125,0.984375,0.1875,0.140625
138,1.0,0.890625,1.0,0.078125,1.0,0.265625,0.046875
139,1.0,0.765625,1.0,0.125,0.875,0.28125,0.109375
140,1.0,0.921875,1.0,0.171875,0.890625,0.25,0.0625
141,1.0,0.828125,1.0,0.203125,0.96875,0.359375,0.125
142,1.0,0.890625,1.0,0.125,0.96875,0.28125,0.21875
143,1.0,0.828125,1.0,0.203125,0.984375,0.203125,0.1875
144,1.0,0.8125,1.0,0.125,0.8125,0.296875,0.125
145,1.0,0.84375,1.0,0.125,0.984375,0.3125,0.109375
146,1.0,0.890625,1.0,0.09375,0.90625,0.21875,0.125
147,1.0,0.875,1.0,0.0625,1.0,0.265625,0.0625
148,1.0,0.84375,1.0,0.125,0.9375,0.21875,0.125
149,1.0,0.734375,1.0,0.140625,0.90625,0.375,0.078125
150,1.0,0.875,1.0,0.15625,0.953125,0.25,0.140625
151,1.0,0.859375,1.0,0.25,1.0,0.21875,0.140625
152,1.0,0.890625,1.0,0.21875,0.96875,0.28125,0.171875
153,1.0,0.921875,1.0,0.15625,0.96875,0.421875,0.109375
154,1.0,0.90625,1.0,0.15625,1.0,0.328125,0.109375
155,1.0,0.875,1.0,0.078125,1.0,0.390625,0.15625
156,1.0,0.90625,1.0,0.1875,1.0,0.40625,0.078125
157,1.0,0.875,1.0,0.21875,1.0,0.34375,0.09375
158,1.0,0.9375,1.0,0.203125,0.984375,0.3125,0.15625
159,1.0,0.84375,1.0,0.171875,0.984375,0.4375,0.15625
160,1.0,0.796875,1.0,0.25,1.0,0.359375,0.15625
161,1.0,0.890625,1.0,0.140625,1.0,0.296875,0.21875
162,1.0,0.84375,1.0,0.234375,0.984375,0.359375,0.265625
163,1.0,0.921875,1.0,0.265625,1.0,0.453125,0.171875
164,1.0,0.84375,1.0,0.234375,0.921875,0.390625,0.171875
165,1.0,0.890625,1.0,0.1875,1.0,0.359375,0.140625
166,1.0,0.890625,1.0,0.359375,1.0,0.359375,0.125
167,1.0,0.890625,1.0,0.3125,0.984375,0.453125,0.125
168,1.0,0.859375,1.0,0.296875,0.984375,0.359375,0.1875
169,1.0,0.921875,1.0,0.109375,0.9375,0.5625,0.140625
170,1.0,0.9375,1.0,0.390625,0.984375,0.5,0.171875
171,1.0,0.84375,1.0,0.296875,1.0,0.328125,0.109375
172,1.0,0.859375,1.0,0.234375,0.875,0.40625,0.21875
173,0.96875,0.84375,1.0,0.359375,1.0,0.40625,0.203125
174,1.0,0.875,1.0,0.3125,1.0,0.390625,0.078125
175,1.0,0.875,1.0,0.421875,1.0,0.46875,0.25
176,1.0,0.921875,1.0,0.25,1.0,0.484375,0.125
177,1.0,0.90625,1.0,0.25,1.0,0.421875,0.15625
178,1.0,0.875,1.0,0.296875,1.0,0.453125,0.046875
179,1.0,0.8125,1.0,0.28125,1.0,0.46875,0.15625
180,1.0,0.875,1.0,0.40625,0.984375,0.40625,0.234375
181,1.0,0.890625,1.0,0.34375,0.9375,0.578125,0.25
182,0.984375,0.921875,1.0,0.4375,1.0,0.515625,0.171875
183,1.0,0.859375,1.0,0.265625,1.0,0.421875,0.15625
184,1.0,0.875,1.0,0.28125,0.984375,0.4375,0.109375
185,0.984375,0.90625,1.0,0.265625,1.0,0.46875,0.140625
186,1.0,0.953125,1.0,0.34375,1.0,0.546875,0.21875
187,1.0,0.859375,1.0,0.375,1.0,0.46875,0.109375
188,1.0,0.828125,1.0,0.28125,1.0,0.40625,0.1875
189,1.0,0.875,1.0,0.421875,1.0,0.484375,0.15625
190,1.0,0.90625,1.0,0.359375,1.0,0.40625,0.15625
191,1.0,0.828125,1.0,0.359375,0.984375,0.546875,0.125
192,1.0,0.875,1.0,0.421875,0.921875,0.40625,0.078125
193,1.0,0.875,1.0,0.296875,0.890625,0.46875,0.078125
194,1.0,0.828125,1.0,0.34375,1.0,0.40625,0.203125
195,1.0,0.9375,1.0,0.359375,1.0,0.515625,0.078125
196,1.0,0.9375,1.0,0.34375,0.9375,0.609375,0.109375
197,1.0,0.890625,1.0,0.359375,0.96875,0.53125,0.1875
198,1.0,0.90625,1.0,0.421875,0.9375,0.390625,0.203125
199,1.0,0.9375,1.0,0.390625,0.8125,0.421875,0.09375
200,0.984375,0.890625,1.0,0.375,1.0,0.515625,0.15625
201,1.0,0.875,1.0,0.328125,1.0,0.4375,0.078125
202,1.0,0.84375,1.0,0.375,0.984375,0.546875,0.109375
203,1.0,0.84375,1.0,0.421875,0.953125,0.53125,0.140625
204,1.0,0.90625,1.0,0.359375,0.96875,0.5,0.1875
205,1.0,0.9375,1.0,0.453125,0.984375,0.453125,0.1875
206,1.0,0.9375,1.0,0.5625,0.9375,0.53125,0.203125
207,1.0,0.875,1.0,0.375,0.984375,0.46875,0.140625
208,1.0,0.828125,1.0,0.390625,0.96875,0.484375,0.265625
209,1.0,0.859375,1.0,0.296875,0.984375,0.390625,0.0625
210,1.0,0.96875,1.0,0.40625,0.921875,0.421875,0.171875
211,1.0,0.953125,1.0,0.375,0.8125,0.40625,0.1875
212,1.0,0.859375,1.0,0.390625,1.0,0.390625,0.09375
213,1.0,0.875,1.0,0.421875,0.9375,0.453125,0.15625
214,1.0,0.90625,1.0,0.390625,1.0,0.484375,0.15625
215,1.0,0.859375,1.0,0.328125,0.953125,0.40625,0.109375
216,1.0,0.921875,1.0,0.34375,1.0,0.53125,0.171875
217,1.0,0.890625,1.0,0.4375,0.9375,0.5,0.171875
218,1.0,0.921875,1.0,0.4375,1.0,0.5,0.125
219,1.0,0.84375,1.0,0.359375,0.921875,0.453125,0.171875
220,0.984375,0.90625,1.0,0.5,1.0,0.46875,0.171875
221,1.0,0.90625,1.0,0.4375,1.0,0.359375,0.140625
222,1.0,0.921875,1.0,0.484375,0.921875,0.453125,0.171875
223,1.0,0.96875,1.0,0.453125,0.890625,0.515625,0.1875
224,1.0,0.921875,1.0,0.390625,0.921875,0.515625,0.125
225,1.0,0.875,1.0,0.4375,0.953125,0.546875,0.1875
226,0.984375,0.875,1.0,0.484375,1.0,0.4375,0.1875
227,1.0,0.84375,1.0,0.421875,1.0,0.390625,0.125
228,1.0,0.890625,1.0,0.453125,0.953125,0.46875,0.15625
229,1.0,0.859375,1.0,0.46875,0.78125,0.640625,0.171875
230,1.0,0.921875,1.0,0.453125,0.984375,0.453125,0.25
231,1.0,0.90625,1.0,0.515625,1.0,0.46875,0.15625
232,1.0,0.828125,1.0,0.484375,0.984375,0.546875,0.125
233,1.0,0.859375,1.0,0.5625,0.90625,0.484375,0.15625
234,1.0,0.921875,1.0,0.484375,0.875,0.546875,0.21875
235,1.0,0.828125,1.0,0.390625,1.0,0.546875,0.21875
236,1.0,0.90625,1.0,0.4375,0.96875,0.609375,0.171875
237,1.0,0.78125,1.0,0.359375,1.0,0.515625,0.140625
238,1.0,0.890625,1.0,0.390625,0.984375,0.390625,0.125
239,1.0,0.921875,1.0,0.46875,0.859375,0.421875,0.1875
240,1.0,0.828125,1.0,0.5,0.84375,0.53125,0.140625
241,1.0,0.828125,1.0,0.421875,0.953125,0.421875,0.09375
242,1.0,0.875,1.0,0.515625,0.890625,0.53125,0.15625
243,1.0,0.890625,1.0,0.515625,0.921875,0.5625,0.1875
244,1.0,0.9375,1.0,0.40625,0.9375,0.625,0.203125
245,1.0,0.90625,1.0,0.484375,1.0,0.5625,0.171875
246,1.0,0.84375,1.0,0.359375,0.96875,0.5,0.109375
247,1.0,0.90625,1.0,0.53125,0.84375,0.46875,0.21875
248,1.0,0.875,1.0,0.453125,0.5625,0.515625,0.1875
249,0.984375,0.90625,1.0,0.359375,1.0,0.640625,0.15625
250,1.0,0.9375,1.0,0.390625,0.984375,0.5625,0.234375
251,1.0,0.921875,1.0,0.515625,0.953125,0.59375,0.1875
252,1.0,0.890625,1.0,0.5,1.0,0.453125,0.265625
253,1.0,0.9375,1.0,0.546875,1.0,0.53125,0.140625
254,1.0,0.875,1.0,0.46875,0.984375,0.53125,0.28125
255,1.0,0.875,1.0,0.65625,1.0,0.609375,0.15625
256,1.0,0.875,1.0,0.4375,1.0,0.53125,0.15625
257,1.0,0.96875,1.0,0.53125,1.0,0.53125,0.203125
258,1.0,0.890625,1.0,0.46875,0.984375,0.53125,0.203125
259,1.0,0.890625,1.0,0.5625,0.953125,0.546875,0.234375
260,1.0,0.828125,1.0,0.421875,1.0,0.4375,0.1875
261,1.0,0.875,1.0,0.484375,0.984375,0.53125,0.234375
262,1.0,0.875,1.0,0.421875,0.96875,0.546875,0.265625
263,1.0,0.828125,1.0,0.546875,0.890625,0.421875,0.203125
264,1.0,0.90625,1.0,0.484375,1.0,0.546875,0.140625
265,1.0,0.96875,1.0,0.53125,0.953125,0.4375,0.21875
266,1.0,0.84375,1.0,0.421875,0.96875,0.5,0.1875
267,1.0,0.984375,1.0,0.6875,0.984375,0.53125,0.21875
268,1.0,0.90625,1.0,0.59375,0.984375,0.546875,0.203125
