epoch,d_real_auth_acc,d_real_class_acc,d_fake_auth_acc,d_fake_class_acc,g_auth_acc,g_class_acc,cnn_accuracy
89,0.484375,0.84375,0.03125,0.078125,0.21875,0.125,0.078125
90,0.375,0.71875,0.09375,0.125,0.1875,0.09375,0.109375
91,0.40625,0.734375,0.078125,0.125,0.1875,0.078125,0.109375
92,0.421875,0.78125,0.09375,0.09375,0.21875,0.125,0.125
93,0.359375,0.796875,0.109375,0.140625,0.203125,0.15625,0.09375
94,0.40625,0.6875,0.015625,0.09375,0.21875,0.125,0.078125
95,0.375,0.765625,0.0625,0.1875,0.203125,0.140625,0.125
96,0.34375,0.671875,0.046875,0.109375,0.171875,0.09375,0.109375
97,0.46875,0.640625,0.109375,0.171875,0.171875,0.109375,0.109375
98,0.46875,0.765625,0.109375,0.140625,0.21875,0.1875,0.078125
99,0.328125,0.75,0.15625,0.171875,0.234375,0.078125,0.125
100,0.46875,0.71875,0.1875,0.109375,0.1875,0.125,0.046875
101,0.359375,0.71875,0.140625,0.203125,0.203125,0.1875,0.046875
102,0.328125,0.734375,0.078125,0.078125,0.25,0.046875,0.0625
103,0.5625,0.609375,0.078125,0.109375,0.28125,0.0625,0.109375
104,0.390625,0.65625,0.078125,0.203125,0.375,0.0625,0.15625
105,0.53125,0.828125,0.0625,0.140625,0.375,0.109375,0.109375
106,0.515625,0.65625,0.046875,0.265625,0.25,0.09375,0.109375
107,0.578125,0.609375,0.078125,0.140625,0.328125,0.125,0.046875
108,0.421875,0.6875,0.125,0.15625,0.234375,0.09375,0.046875
109,0.609375,0.671875,0.109375,0.125,0.15625,0.0625,0.0625
110,0.515625,0.765625,0.171875,0.109375,0.21875,0.109375,0.0625
111,0.421875,0.6875,0.140625,0.171875,0.1875,0.125,0.0625
112,0.421875,0.65625,0.09375,0.140625,0.234375,0.125,0.109375
113,0.578125,0.765625,0.203125,0.125,0.140625,0.078125,0.125
114,0.515625,0.8125,0.09375,0.125,0.21875,0.125,0.109375
115,0.515625,0.75,0.234375,0.0625,0.125,0.0625,0.09375
116,0.34375,0.75,0.21875,0.0625,0.203125,0.140625,0.140625
117,0.328125,0.765625,0.203125,0.1875,0.109375,0.0625,0.09375
118,0.5625,0.71875,0.1875,0.15625,0.140625,0.09375,0.09375
119,0.578125,0.8125,0.46875,0.09375,0.140625,0.171875,0.109375
120,0.5,0.65625,0.265625,0.15625,0.09375,0.109375,0.09375
121,0.484375,0.75,0.40625,0.171875,0.203125,0.09375,0.125
