epoch,d_real_auth_acc,d_real_class_acc,d_fake_auth_acc,d_fake_class_acc,g_auth_acc,g_class_acc,cnn_accuracy
91,0.984375,0.546875,1.0,0.078125,0.0,0.125,0.15625
92,0.984375,0.578125,1.0,0.109375,0.0,0.234375,0.1875
93,1.0,0.421875,1.0,0.171875,0.0,0.171875,0.109375
94,1.0,0.546875,1.0,0.125,0.0,0.265625,0.1875
95,0.984375,0.46875,1.0,0.109375,0.0,0.140625,0.28125
96,1.0,0.453125,1.0,0.109375,0.0,0.09375,0.203125
97,0.984375,0.625,1.0,0.140625,0.0,0.140625,0.234375
98,0.984375,0.640625,1.0,0.15625,0.0,0.140625,0.15625
99,0.984375,0.5625,1.0,0.15625,0.0,0.25,0.125
100,1.0,0.53125,1.0,0.125,0.0,0.21875,0.21875
101,1.0,0.46875,1.0,0.125,0.0,0.1875,0.234375
102,0.96875,0.5,1.0,0.140625,0.0,0.15625,0.203125
103,0.984375,0.515625,1.0,0.1875,0.0,0.15625,0.109375
104,1.0,0.625,1.0,0.109375,0.0,0.21875,0.140625
105,0.984375,0.59375,1.0,0.140625,0.0,0.21875,0.1875
106,1.0,0.625,1.0,0.21875,0.0,0.1875,0.1875
107,0.984375,0.515625,1.0,0.140625,0.0,0.125,0.21875
108,1.0,0.625,1.0,0.109375,0.0,0.15625,0.078125
109,1.0,0.515625,1.0,0.078125,0.0,0.171875,0.140625
110,0.96875,0.734375,1.0,0.109375,0.0,0.125,0.046875
111,1.0,0.640625,1.0,0.140625,0.0,0.21875,0.21875
112,1.0,0.625,1.0,0.125,0.0,0.140625,0.203125
113,1.0,0.578125,1.0,0.109375,0.0,0.25,0.15625
114,0.96875,0.609375,1.0,0.1875,0.0,0.234375,0.171875
115,0.984375,0.578125,1.0,0.125,0.0,0.125,0.1875
116,1.0,0.671875,1.0,0.09375,0.0,0.21875,0.15625
117,0.984375,0.609375,1.0,0.203125,0.0,0.203125,0.234375
118,1.0,0.609375,1.0,0.15625,0.0,0.09375,0.1875
119,0.96875,0.625,1.0,0.109375,0.015625,0.171875,0.125
120,0.984375,0.5625,1.0,0.15625,0.0,0.140625,0.21875
121,0.984375,0.625,1.0,0.203125,0.0,0.171875,0.21875
122,0.984375,0.59375,1.0,0.15625,0.015625,0.171875,0.1875
123,1.0,0.640625,1.0,0.171875,0.015625,0.125,0.171875
124,1.0,0.65625,1.0,0.203125,0.0,0.15625,0.203125
125,1.0,0.671875,1.0,0.1875,0.03125,0.1875,0.171875
126,1.0,0.59375,1.0,0.109375,0.0,0.171875,0.21875
127,0.984375,0.78125,1.0,0.15625,0.0,0.109375,0.234375
128,0.984375,0.6875,1.0,0.125,0.046875,0.140625,0.125
129,1.0,0.515625,1.0,0.125,0.015625,0.234375,0.125
130,0.96875,0.65625,1.0,0.109375,0.046875,0.140625,0.203125
131,1.0,0.59375,1.0,0.171875,0.0625,0.171875,0.140625
132,1.0,0.6875,1.0,0.171875,0.015625,0.203125,0.21875
133,1.0,0.59375,1.0,0.140625,0.015625,0.15625,0.125
134,0.984375,0.671875,1.0,0.09375,0.03125,0.203125,0.1875
135,1.0,0.65625,1.0,0.078125,0.046875,0.171875,0.171875
136,1.0,0.65625,1.0,0.203125,0.03125,0.1875,0.140625
137,0.984375,0.640625,1.0,0.203125,0.046875,0.203125,0.140625
138,0.984375,0.703125,1.0,0.125,0.0625,0.125,0.203125
139,0.984375,0.765625,1.0,0.109375,0.109375,0.1875,0.171875
140,1.0,0.671875,1.0,0.25,0.109375,0.140625,0.109375
141,1.0,0.65625,1.0,0.109375,0.015625,0.15625,0.109375
142,1.0,0.6875,1.0,0.140625,0.015625,0.1875,0.203125
143,0.984375,0.78125,1.0,0.09375,0.0625,0.125,0.15625
144,1.0,0.78125,1.0,0.15625,0.0625,0.15625,0.234375
145,0.953125,0.671875,1.0,0.203125,0.265625,0.140625,0.109375
146,0.984375,0.59375,1.0,0.15625,0.46875,0.171875,0.171875
147,1.0,0.828125,1.0,0.171875,0.359375,0.09375,0.1875
148,1.0,0.71875,1.0,0.0625,0.21875,0.15625,0.1875
149,0.96875,0.609375,1.0,0.109375,0.296875,0.1875,0.125
150,0.984375,0.609375,1.0,0.15625,0.578125,0.171875,0.265625
151,1.0,0.671875,1.0,0.1875,0.453125,0.140625,0.1875
152,1.0,0.71875,1.0,0.171875,0.234375,0.125,0.140625
153,0.984375,0.6875,1.0,0.15625,0.453125,0.125,0.21875
154,0.984375,0.71875,1.0,0.125,0.609375,0.15625,0.1875
155,1.0,0.734375,1.0,0.078125,0.359375,0.15625,0.203125
156,1.0,0.71875,1.0,0.15625,0.265625,0.15625,0.203125
157,0.984375,0.6875,1.0,0.15625,0.171875,0.15625,0.15625
