epoch,d_real_auth_acc,d_real_class_acc,d_fake_auth_acc,d_fake_class_acc,g_auth_acc,g_class_acc,cnn_accuracy
89,0.921875,0.78125,0.5625,0.125,0.046875,0.203125,0.03125
90,0.921875,0.65625,0.609375,0.140625,0.046875,0.15625,0.171875
91,0.921875,0.84375,0.53125,0.109375,0.09375,0.078125,0.140625
92,0.890625,0.78125,0.40625,0.171875,0.03125,0.0625,0.1875
93,0.890625,0.65625,0.40625,0.125,0.0625,0.078125,0.109375
94,0.71875,0.703125,0.515625,0.125,0.09375,0.078125,0.09375
95,0.640625,0.796875,0.265625,0.09375,0.078125,0.15625,0.09375
96,0.65625,0.6875,0.359375,0.109375,0.0625,0.078125,0.140625
97,0.703125,0.71875,0.625,0.109375,0.03125,0.109375,0.09375
98,0.5,0.734375,0.640625,0.15625,0.015625,0.09375,0.125
99,0.546875,0.765625,0.75,0.140625,0.03125,0.109375,0.171875
100,0.640625,0.765625,0.53125,0.109375,0.046875,0.078125,0.125
101,0.75,0.765625,0.5625,0.15625,0.0625,0.09375,0.140625
102,0.640625,0.6875,0.59375,0.1875,0.0625,0.109375,0.109375
103,0.84375,0.78125,0.734375,0.140625,0.015625,0.125,0.109375
104,0.75,0.765625,0.640625,0.140625,0.015625,0.125,0.078125
105,0.734375,0.765625,0.6875,0.09375,0.03125,0.078125,0.078125
106,0.796875,0.75,0.578125,0.0625,0.03125,0.15625,0.109375
107,0.8125,0.78125,0.484375,0.171875,0.0625,0.125,0.109375
108,0.796875,0.796875,0.515625,0.125,0.03125,0.140625,0.03125
109,0.875,0.625,0.5,0.125,0.0,0.09375,0.109375
110,0.875,0.765625,0.640625,0.0625,0.0,0.078125,0.09375
111,0.734375,0.8125,0.734375,0.15625,0.015625,0.171875,0.140625
112,0.90625,0.75,0.734375,0.15625,0.0,0.140625,0.09375
113,0.8125,0.6875,0.734375,0.078125,0.015625,0.171875,0.109375
114,0.859375,0.796875,0.671875,0.140625,0.0,0.15625,0.125
115,0.84375,0.6875,0.71875,0.0625,0.015625,0.125,0.078125
116,0.75,0.765625,0.53125,0.203125,0.0,0.140625,0.140625
117,0.75,0.671875,0.296875,0.1875,0.046875,0.125,0.171875
118,0.515625,0.671875,0.359375,0.09375,0.046875,0.109375,0.078125
119,0.28125,0.703125,0.125,0.140625,0.21875,0.09375,0.15625
120,0.34375,0.6875,0.109375,0.125,0.140625,0.203125,0.03125
121,0.15625,0.796875,0.234375,0.125,0.140625,0.078125,0.140625
122,0.140625,0.765625,0.15625,0.140625,0.0625,0.046875,0.109375
123,0.171875,0.84375,0.53125,0.09375,0.046875,0.09375,0.078125
124,0.15625,0.734375,0.78125,0.15625,0.015625,0.125,0.125
125,0.34375,0.71875,0.75,0.09375,0.03125,0.0625,0.046875
126,0.421875,0.703125,0.859375,0.171875,0.015625,0.078125,0.09375
127,0.5,0.78125,0.890625,0.09375,0.0,0.09375,0.078125
128,0.53125,0.828125,0.859375,0.125,0.0,0.078125,0.125
129,0.640625,0.828125,0.8125,0.140625,0.015625,0.171875,0.140625
130,0.640625,0.8125,0.84375,0.1875,0.015625,0.125,0.140625
131,0.703125,0.703125,0.828125,0.125,0.015625,0.09375,0.109375
132,0.53125,0.78125,0.515625,0.125,0.109375,0.1875,0.03125
133,0.8125,0.84375,0.328125,0.265625,0.0625,0.171875,0.109375
134,0.640625,0.8125,0.3125,0.171875,0.15625,0.21875,0.125
135,0.546875,0.828125,0.0625,0.140625,0.4375,0.078125,0.09375
136,0.78125,0.828125,0.046875,0.09375,0.296875,0.140625,0.09375
137,0.75,0.828125,0.0,0.171875,0.28125,0.15625,0.0625
138,0.875,0.703125,0.078125,0.15625,0.1875,0.125,0.109375
139,0.890625,0.703125,0.265625,0.171875,0.078125,0.0625,0.125
140,0.953125,0.796875,0.609375,0.109375,0.015625,0.09375,0.109375
141,0.953125,0.78125,0.921875,0.125,0.0,0.046875,0.15625
142,0.984375,0.84375,0.9375,0.109375,0.03125,0.078125,0.015625
143,0.953125,0.75,0.96875,0.09375,0.0,0.078125,0.171875
144,0.984375,0.734375,1.0,0.09375,0.0,0.171875,0.078125
145,0.984375,0.828125,1.0,0.09375,0.0,0.15625,0.09375
146,1.0,0.78125,1.0,0.171875,0.0,0.171875,0.109375
147,1.0,0.8125,1.0,0.09375,0.0,0.046875,0.0625
148,0.984375,0.859375,1.0,0.109375,0.0,0.125,0.078125
149,0.984375,0.84375,1.0,0.1875,0.0,0.125,0.078125
150,0.953125,0.671875,1.0,0.140625,0.0,0.109375,0.109375
151,0.890625,0.8125,0.875,0.140625,0.0,0.171875,0.078125
152,0.84375,0.8125,0.734375,0.1875,0.0,0.21875,0.09375
153,0.703125,0.640625,0.484375,0.109375,0.0,0.15625,0.1875
154,0.71875,0.734375,0.21875,0.171875,0.015625,0.140625,0.09375
155,0.421875,0.5625,0.125,0.234375,0.078125,0.109375,0.078125
156,0.265625,0.6875,0.0625,0.109375,0.125,0.1875,0.15625
157,0.109375,0.71875,0.125,0.203125,0.171875,0.078125,0.140625
158,0.046875,0.796875,0.390625,0.046875,0.046875,0.03125,0.109375
159,0.125,0.828125,0.53125,0.0625,0.015625,0.125,0.09375
160,0.09375,0.78125,0.8125,0.09375,0.03125,0.078125,0.15625
161,0.265625,0.796875,0.84375,0.109375,0.03125,0.078125,0.09375
162,0.3125,0.734375,0.890625,0.140625,0.0,0.03125,0.125
163,0.65625,0.78125,0.953125,0.046875,0.015625,0.078125,0.078125
164,0.640625,0.75,1.0,0.0625,0.0,0.078125,0.09375
165,0.8125,0.78125,0.984375,0.140625,0.0,0.109375,0.125
166,0.828125,0.875,1.0,0.109375,0.0,0.0625,0.125
167,0.859375,0.84375,1.0,0.109375,0.0,0.0625,0.09375
168,0.859375,0.765625,1.0,0.109375,0.0,0.109375,0.140625
169,0.90625,0.703125,1.0,0.0625,0.0,0.078125,0.109375
170,0.9375,0.84375,1.0,0.109375,0.0,0.125,0.140625
171,0.984375,0.796875,1.0,0.125,0.0,0.140625,0.09375
172,0.9375,0.8125,1.0,0.171875,0.0,0.171875,0.1875
173,0.953125,0.828125,1.0,0.078125,0.0,0.09375,0.078125
