epoch,d_loss,g_loss,psnr
0,0,0,1.24255849698963
1,0,0,1.342464073576526
2,0,0,1.4295462782995805
3,0,0,1.5006440803348906
4,0,0,1.5882538514616722
5,0,0,1.6536807301326668
6,0,0,1.7235812972545546
7,0,0,1.7294548461671433
8,0,0,1.7339276430624504
9,0,0,1.786449479325762
10,0,0,1.7780219270641942
11,0,0,1.8138658494678412
12,0,0,1.82099775120219
13,0,0,1.8349523627894215
14,0,0,1.816226380450715
15,0,0,1.8653989369667825
16,0,0,1.8807886604415425
17,0,0,1.8598694332393293
18,0,0,1.8808840599094276
19,0,0,1.916054441088234
20,0,0,1.9737452917925702
21,0,0,2.0208692250496325
22,0,0,2.0866892181902896
23,0,0,2.154022835511729
24,0,0,2.1880736479152265
25,0,0,2.184747368250715
26,0,0,2.3153633517696965
27,0,0,2.4062340030943146
28,0,0,2.4186714303031795
29,0,0,2.545376550254623
30,0,0,2.5696553848587618
31,0,0,2.5868034005764096
32,0,0,2.6840938216950603
33,0,0,2.8143847402363766
34,0,0,2.9094590640875753
35,0,0,3.009638879325584
36,0,0,3.082392851549638
37,0,0,3.2605742288071733
38,0,0,3.26361606840527
39,0,0,3.3331676139616255
40,0,0,3.3791058881418543
41,0,0,3.4955004354708583
42,0,0,3.5152567650423743
43,0,0,3.566579730602333
44,0,0,3.706656660712458
45,0,0,3.6821651668622373
46,0,0,3.8288036996164623
47,0,0,3.9573655759604973
48,0,0,4.0600256408025945
49,0,0,4.086390493207718
50,0,0,4.220579731168269
51,0,0,4.166961895547042
52,0,0,4.313453272694018
53,0,0,4.36099570364244
54,0,0,4.433878955093781
55,0,0,4.562609503648584
56,0,0,4.4435530372774075
57,0,0,4.801388481121313
58,0,0,4.42070830691157
59,0,0,4.861778290082169
60,0,0,4.712238195417891
61,0,0,4.759655615677456
62,0,0,4.7690323311356755
63,0,0,4.857226405351912
64,0,0,4.738960386463394
65,0,0,4.8581425804871525
66,0,0,4.9558618047642895
67,0,0,4.806721040798129
68,0,0,4.85020525084599
69,0,0,5.042363163266691
70,0,0,5.014791255792246
71,0,0,4.891027147404682
72,0,0,4.982054862944425
73,0,0,4.828946387303286
74,0,0,5.319424869562428
75,0,0,4.873580624716054
76,0,0,4.847575735541101
77,0,0,5.137348937813298
78,0,0,4.834698629026251
79,0,0,5.409951395194897
80,0,0,5.070457322289439
81,0,0,4.982625955627038
82,0,0,4.789311755161123
83,0,0,4.9803852246949205
84,0,0,5.0722655798251814
85,0,0,5.257286116912701
86,0,0,5.332115721311693
87,0,0,5.1285912126414015
88,0,0,5.112018007968137
89,0,0,4.977724584918615
90,0,0,5.287486008615556
91,0,0,4.975699648420257
92,0,0,4.9567191961827834
93,0,0,4.917689882076164
94,0,0,4.9904576193260315
95,0,0,5.185971375828579
96,0,0,5.258479663666016
97,0,0,4.524565147697304
98,0,0,5.11677360770854
99,0,0,5.163241533135544
100,0,0,5.1014132655535604
101,0.012997965328395367,0,5.391998832001913
102,-0.349321186542511,0,5.120647235789719
103,-0.6456304788589478,0,5.404553876366686
104,-0.7031052112579346,0,4.96656173352298
105,-0.9372710585594177,0,5.419053395403254
106,-1.7227683067321777,0,5.03394445115966
107,-1.5744203329086304,0,5.020647938369176
108,-2.1889050006866455,0,5.166219045526905
109,-2.952082633972168,0,5.065668620761096
110,-3.4371628761291504,0,5.161990600766155
111,-3.8035953044891357,0,5.257473726988397
112,-3.998044013977051,0,5.536887544922521
113,-3.6809442043304443,0,5.421066930253757
114,-3.968371629714966,0,5.240162220469539
115,-4.644839286804199,0,5.302881862335448
116,-6.667280197143555,0,5.443898225694439
117,-5.843200206756592,0,5.669885902081491
118,-5.289412975311279,0,5.516720191268899
119,-7.207564830780029,0,5.328877058506336
120,-6.501165866851807,0,5.8194332012373895
121,-7.044576644897461,0,5.44034141526598
122,-7.776818752288818,0,5.687758814505331
123,-7.873227119445801,0,5.613637167148737
124,-7.10100793838501,0,5.736041425613995
125,-8.689081192016602,0,5.81042974123611
126,-9.364277839660645,8.364632606506348,6.311414156428739
127,-9.303043365478516,7.832594394683838,5.680256432872259
128,-9.0245361328125,8.236349105834961,6.346695756480898
129,-7.683234691619873,8.475578308105469,5.953582145951245
130,-6.353052139282227,6.798305511474609,6.362892383851765
131,-7.829302787780762,7.096335411071777,5.901904833379726
132,-7.273045063018799,7.7031049728393555,6.133283286974351
133,-6.779176712036133,6.405559062957764,6.150906218390782
134,-7.951330184936523,7.1308207511901855,6.726492152020425
135,-8.718990325927734,6.566118240356445,6.200584432860583
136,-8.117918968200684,6.626746654510498,6.866664709539332
137,-7.846726417541504,5.587479591369629,5.637089346856769
138,-8.496726989746094,6.135481357574463,6.199249873032247
139,-8.053442001342773,5.271523952484131,6.1871009751008055
140,-7.905958652496338,5.709385871887207,6.382364518182894
141,-8.013683319091797,4.9765706062316895,6.341200934480204
142,-6.509764671325684,4.601680278778076,6.740634844951277
143,-7.097739219665527,3.867515802383423,6.662258562696729
144,-7.912109375,3.7691235542297363,7.159745645687805
145,-8.483133316040039,3.945291042327881,6.6054991471761415
146,-8.28032112121582,1.8546462059020996,6.947219865617173
147,-6.658376693725586,2.072268009185791,7.338901882976359
148,-7.316792964935303,0.23012308776378632,7.479864221139629
149,-5.489080429077148,1.4064745903015137,7.32525051294572
150,-7.535009384155273,-1.040766716003418,7.625111943372113
151,-6.88507604598999,-2.9949405193328857,7.503083889724419
152,-9.033246994018555,-2.498246669769287,6.907428095083556
153,-7.544695854187012,-3.0018186569213867,6.988322416503165
154,-6.310732364654541,-3.682854413986206,6.558618856223134
155,-6.676808834075928,-6.307136058807373,6.8862714923224475
156,-7.524137020111084,-6.318323135375977,7.254116461768778
157,-7.553183078765869,-7.586741924285889,7.1649577190811105
158,-5.922055244445801,-7.5644378662109375,6.932323569560762
159,-6.467048645019531,-8.413631439208984,6.992507895822699
160,-7.0123395919799805,-8.111740112304688,7.073583310620739
161,-7.360468864440918,-7.447670936584473,7.152121637877974
162,-6.450798511505127,-8.800491333007812,7.5161607687787395
163,-6.88859224319458,-8.54431438446045,7.022256823142338
164,-6.476709365844727,-6.2519378662109375,6.992975788722773
165,-6.806648254394531,-6.912450790405273,7.299218537295626
166,-6.8040690422058105,-7.183781147003174,6.887407831740617
167,-6.652351379394531,-7.212294101715088,6.987677784693167
168,-7.782461643218994,-7.070075035095215,7.183665548522184
169,-6.44121789932251,-7.6033501625061035,6.888223613518409
170,-6.976540565490723,-7.062103271484375,6.868931850403102
171,-7.179433345794678,-7.3901238441467285,7.395970301404786
172,-5.43312406539917,-8.516929626464844,6.666796270885849
173,-7.3081231117248535,-6.8260297775268555,6.9721843377309956
174,-6.478002548217773,-7.0522541999816895,7.4588367326115925
175,-6.715600490570068,-5.73922872543335,6.984768913630594
176,-5.122537612915039,-6.881659030914307,6.682608662509587
177,-6.581122398376465,-6.317349433898926,6.136196207047825
178,-7.121589183807373,-8.483392715454102,6.804590056156497
179,-6.512089252471924,-7.767848014831543,6.6246525702493155
180,-5.57556676864624,-8.423432350158691,6.911107603026778
181,-7.4927568435668945,-8.013906478881836,6.914673193430886
182,-7.870369911193848,-8.64565658569336,6.912629042506619
183,-5.3608832359313965,-7.974666118621826,6.545294087557388
184,-6.997469425201416,-6.415340900421143,6.458839515899706
185,-6.686468124389648,-6.290416240692139,6.347136111566307
186,-8.54655647277832,-7.657794952392578,6.450700368935605
187,-7.679633617401123,-6.635875701904297,6.5622362644324035
188,-6.304905891418457,-7.3980278968811035,6.207349864374525
189,-6.985041618347168,-7.698843479156494,6.154015968830309
190,-6.94851541519165,-8.051727294921875,6.007539391616544
191,-5.376589298248291,-6.9437994956970215,6.476322181435523
192,-6.377450466156006,-5.665403366088867,6.249083301149127
193,-7.564303874969482,-6.744897365570068,6.404236766615751
194,-8.36262035369873,-5.011885166168213,6.321558894627367
195,-6.720585823059082,-5.70188045501709,6.203316069107271
196,-7.8741021156311035,-5.272469520568848,6.238712382122441
197,-8.528239250183105,-4.2138352394104,5.995354880976246
198,-8.433704376220703,-4.5717973709106445,6.066717730611385
199,-8.531801223754883,-3.1380743980407715,5.80346603267695
200,-8.046326637268066,-2.8169333934783936,6.174628971659225
201,-7.312098026275635,-2.3048887252807617,6.083815977158319
202,-8.496739387512207,-3.646253824234009,5.95991429268409
203,-7.925764083862305,-1.8625197410583496,6.1014153428751525
204,-7.75767183303833,-2.1697604656219482,5.875530052124809
205,-8.571630477905273,-3.5788285732269287,6.020839365087665
206,-6.044236183166504,-1.535634160041809,5.793258271663512
207,-8.206892967224121,-0.7995326519012451,5.886098396175376
208,-8.815963745117188,0.488194078207016,5.787929297999471
209,-6.680062294006348,-0.6972230076789856,5.763956059248202
210,-8.074748039245605,-0.7640849351882935,6.215675902030846
211,-6.7281599044799805,-0.25232937932014465,5.757852886183893
212,-8.024541854858398,0.30719906091690063,6.036384835795193
213,-9.187114715576172,2.018730401992798,5.852135849629136
214,-10.410757064819336,0.6707539558410645,5.956860322966451
215,-8.400341033935547,1.591261386871338,5.8154624456539885
216,-9.684917449951172,4.270911693572998,5.585307558412636
217,-9.691812515258789,3.417583703994751,5.809267772133212
218,-9.232303619384766,4.573462963104248,5.706505927744866
219,-9.48588752746582,3.670731544494629,5.994309613188705
220,-9.304143905639648,5.389348983764648,5.851763843576483
221,-9.248859405517578,6.593706130981445,5.600955933283121
222,-11.092164039611816,6.254680633544922,5.85263340150763
223,-10.561327934265137,7.911072254180908,5.646465420112852
224,-10.954254150390625,8.783491134643555,5.437182199312577
225,-10.579363822937012,6.761178970336914,5.681383908978682
226,-10.362045288085938,9.85048770904541,5.750315135358831
227,-9.883390426635742,9.629227638244629,5.558591245063667
228,-9.285907745361328,10.082818984985352,5.261768826233148
229,-11.657087326049805,10.328465461730957,5.700013058439323
230,-10.249281883239746,10.346040725708008,6.12003916273364
231,-10.304783821105957,10.72696590423584,5.519535544340279
232,-12.376163482666016,12.020491600036621,6.010294520558421
233,-11.467591285705566,11.531299591064453,5.308501983614855
234,-12.671160697937012,16.04004669189453,5.781340591078633
235,-9.96973991394043,11.767244338989258,5.703353084699866
236,-12.135432243347168,12.553271293640137,5.34809480616625
237,-10.99100399017334,13.070319175720215,5.741964936961745
238,-10.385294914245605,15.203033447265625,6.028196837522692
239,-9.371248245239258,14.552412033081055,5.857956638598557
240,-9.891897201538086,15.231926918029785,5.651721471418538
241,-11.803947448730469,15.159066200256348,5.563694418629775
242,-10.636645317077637,16.878686904907227,5.500856943251142
243,-9.261262893676758,15.193378448486328,5.86507777315996
244,-12.399425506591797,16.335460662841797,5.52739313342829
245,-11.572942733764648,13.917121887207031,5.334176419731806
246,-10.28760814666748,19.49112319946289,5.509771479918603
