epoch,d_loss,g_loss,psnr,cnn_accuracy
350,-1931.212890625,9525.0400390625,2.017688300829902,0.390625
351,-10934.662109375,10178.84375,2.8161201481304503,0.546875
352,-6447.87109375,10054.765625,2.040858559361578,0.375
353,-12558.474609375,10585.697265625,2.7144114115425295,0.40625
354,-10506.2080078125,10688.427734375,2.6969414340935884,0.4375
355,-5302.0224609375,10892.5,2.45935577025086,0.46875
356,-6389.634765625,10200.1015625,2.2021160075990043,0.40625
357,-12942.8818359375,10983.876953125,1.7093911696507291,0.359375
358,-10206.970703125,11371.04296875,2.87860162633258,0.421875
359,-2075.982421875,8859.41796875,2.192066233674377,0.46875
360,-9017.294921875,10255.451171875,1.9417538509057604,0.40625
361,-7909.189453125,9479.87109375,2.7500077976719215,0.453125
362,-9481.1494140625,9799.412109375,2.0372632164805187,0.4375
363,-8962.6337890625,10017.9189453125,2.3552004750977193,0.5
364,-7598.7861328125,10407.166015625,2.1134148972010802,0.515625
365,-12456.95703125,9699.134765625,2.3601239472911395,0.5
366,-4729.4169921875,10314.93359375,2.275118972711664,0.46875
367,-1860.6435546875,10156.33984375,2.500693248588729,0.453125
368,-4936.744140625,9193.162109375,1.9888300025843506,0.3125
369,-9660.34765625,9756.6455078125,2.104266442194211,0.34375
370,-8101.6845703125,9275.212890625,2.059743893880241,0.515625
371,-8274.65625,9444.6572265625,1.9640490378009603,0.46875
372,-7730.2509765625,9075.380859375,1.9603044827388207,0.34375
373,20401.677734375,5491.033203125,2.0593803707401643,0.53125
374,-7535.51025390625,9179.5078125,2.2344741165093533,0.390625
375,-7065.80322265625,9313.1435546875,2.7196550979439498,0.484375
376,34.5341796875,7819.68701171875,1.943086654838314,0.328125
377,-7958.76171875,9011.6640625,2.29241602107974,0.546875
378,-10469.380859375,9142.13671875,2.727755177406383,0.5625
379,5701.0322265625,6756.78125,2.5314840073277765,0.5
380,-10439.857421875,9385.232421875,2.493249925359767,0.453125
381,-9577.4716796875,9385.2978515625,2.5034841590427916,0.46875
382,-7003.35400390625,8341.513671875,2.1526424077135093,0.40625
383,-11255.533203125,8781.21875,2.1734825692938093,0.40625
384,-5765.8876953125,8907.3828125,2.1524069967687467,0.453125
385,-9137.978515625,9854.087890625,1.9976890407459933,0.421875
386,-10188.9140625,9413.78515625,2.3405286873811337,0.421875
387,-6673.7294921875,9181.552734375,2.453567959919531,0.4375
388,-10043.7998046875,9096.041015625,3.0695963475752053,0.609375
389,-10151.052734375,8989.4765625,2.6789250100285233,0.484375
390,-9392.697265625,9507.294921875,2.4367823376038054,0.40625
391,-6770.59765625,9510.6318359375,2.843890219040493,0.484375
392,-9747.732421875,8967.1513671875,2.583609763697137,0.46875
393,-7293.2763671875,9233.2177734375,2.69494484808495,0.484375
394,-7922.65478515625,8705.765625,2.421525388472778,0.515625
395,-9281.708984375,9053.693359375,2.3814148812337472,0.34375
396,-8709.51171875,9644.62890625,2.172798593102088,0.421875
397,-4809.8828125,9270.4833984375,1.911807460430968,0.453125
398,-3690.76171875,10240.162109375,2.5647437989142237,0.453125
399,-6233.21630859375,8428.75,2.736670936427185,0.421875
400,-5166.9658203125,8496.4423828125,2.150877986123991,0.4375
401,-1550.51171875,9633.51171875,2.1624078998883727,0.53125
402,-6606.70361328125,8894.9990234375,2.4510879433645645,0.484375
403,-4487.7294921875,9704.662109375,2.6862266868863833,0.40625
404,-10116.7578125,9084.849609375,2.6801507803668487,0.4375
405,-5424.5556640625,7954.2509765625,2.235076061388476,0.375
406,-6690.26171875,9030.078125,2.7347833087112523,0.5
407,-6840.58203125,8432.466796875,2.4260404144303536,0.5
408,-6571.81591796875,8768.4208984375,2.136535602261998,0.515625
409,-5947.0078125,9539.119140625,2.497943239417922,0.453125
410,-4153.71875,6865.259765625,2.503180111453514,0.40625
411,-4408.4169921875,9542.587890625,2.851211297791058,0.453125
412,-5610.126953125,9191.923828125,2.7290831255807957,0.4375
413,-6757.6904296875,10008.0791015625,2.186397556040369,0.453125
