Epoch,mse,psnr,d_real_loss,d_real_acc,d_fake_loss,d_fake_acc,g_loss,g_acc,cnn_accuracy
0,0.8731138110160828,0.5892914200500339,0.5560194849967957,0.6875,0.9848473072052002,0.15625,0.6576957702636719,0.8125,0.1875
1,0.8821097612380981,0.5447737208564849,0.40784120559692383,0.96875,0.9648666381835938,0.15625,0.6565786600112915,0.8125,0.21875
2,0.8860308527946472,0.5255115512742472,0.4196639060974121,0.9375,0.8516993522644043,0.28125,0.6407199501991272,0.71875,0.15625
3,0.8797681927680969,0.5563174360376621,0.43027958273887634,0.875,0.8162629008293152,0.40625,0.6518510580062866,0.78125,0.15625
4,0.8876610398292542,0.5175284124225042,0.42426639795303345,0.90625,0.7952699065208435,0.34375,0.6561620235443115,0.625,0.1875
5,0.8863017559051514,0.5241839028818275,0.39366626739501953,0.90625,0.8121944665908813,0.375,0.6358916759490967,0.8125,0.1875
6,0.88259357213974,0.5423923981020261,0.43041306734085083,0.90625,0.7487276792526245,0.375,0.6529489159584045,0.65625,0.03125
7,0.8798457384109497,0.5559346515619127,0.3823844790458679,0.96875,0.7360259890556335,0.53125,0.634268045425415,0.8125,0.125
8,0.8894124031066895,0.5089681848587588,0.420477032661438,0.90625,0.6064586639404297,0.71875,0.6498253345489502,0.625,0.125
9,0.884110689163208,0.5349335864822238,0.304508239030838,1.0,0.569551944732666,0.75,0.6907217502593994,0.5,0.15625
10,0.8889778852462769,0.5110904266867387,0.3971099853515625,0.875,0.5407657623291016,0.75,0.7898151278495789,0.4375,0.09375
11,0.8951429128646851,0.481076224341352,0.2626817226409912,1.0,0.5377533435821533,0.71875,0.7398208379745483,0.53125,0.1875
12,0.8906351327896118,0.5030017729853217,0.40171191096305847,0.875,0.5603026747703552,0.78125,0.7229900360107422,0.40625,0.1875
13,0.895575225353241,0.47897928984475874,0.33352649211883545,0.9375,0.5841659903526306,0.75,0.7760295867919922,0.34375,0.09375
14,0.8904354572296143,0.5039755467899889,0.3246918320655823,0.96875,0.4679996371269226,0.875,0.7849681377410889,0.40625,0.09375
15,0.8974518775939941,0.4698882949693729,0.28587836027145386,1.0,0.47006189823150635,0.84375,0.7613538503646851,0.5,0.09375
16,0.880230188369751,0.5540374095646761,0.275507390499115,1.0,0.4499267339706421,0.90625,0.6972752213478088,0.625,0.125
17,0.889647364616394,0.5078210341045343,0.23453591763973236,0.96875,0.4498760402202606,0.875,0.8303825855255127,0.34375,0.125
18,0.8953676819801331,0.47998585394829063,0.3071889877319336,0.9375,0.425753116607666,0.84375,0.9436571598052979,0.28125,0.09375
19,0.897434651851654,0.4699716544990423,0.2420518696308136,0.9375,0.4832759499549866,0.84375,0.858393669128418,0.46875,0.125
20,0.8920660018920898,0.4960301199483803,0.2520744204521179,0.9375,0.43380939960479736,0.875,0.8143841624259949,0.375,0.21875
21,0.8973522782325745,0.47037030246829303,0.21624645590782166,1.0,0.35620906949043274,0.9375,0.8866783380508423,0.4375,0.125
22,0.8847116827964783,0.5319823774431491,0.22057390213012695,0.96875,0.40508460998535156,0.9375,0.7956194877624512,0.4375,0.21875
23,0.8966042399406433,0.473992117355948,0.21773426234722137,1.0,0.29264628887176514,0.96875,1.1299843788146973,0.21875,0.21875
24,0.8879536390304565,0.5160970858947982,0.2302083969116211,0.96875,0.3437995910644531,0.96875,0.985522449016571,0.34375,0.09375
25,0.8849880695343018,0.530625839579302,0.15685804188251495,0.96875,0.2760300636291504,0.96875,1.1763395071029663,0.21875,0.125
26,0.876652717590332,0.5717241655888893,0.2193300426006317,1.0,0.26067396998405457,0.96875,1.1078516244888306,0.25,0.21875
27,0.8855686783790588,0.5277775239095804,0.16659078001976013,1.0,0.25897637009620667,1.0,1.0773050785064697,0.25,0.125
28,0.8835568428039551,0.5376550532871167,0.18221165239810944,0.96875,0.21884837746620178,0.96875,1.1804243326187134,0.1875,0.25
29,0.875196635723114,0.5789436044585395,0.13879486918449402,1.0,0.22496244311332703,0.96875,1.1857500076293945,0.1875,0.0625
30,0.8749791383743286,0.5800230148845137,0.13685747981071472,0.96875,0.24707800149917603,1.0,1.2362163066864014,0.15625,0.28125
31,0.8823710083961487,0.5434876972065155,0.16196097433567047,0.96875,0.2145928144454956,0.96875,1.2270387411117554,0.21875,0.125
32,0.8769388198852539,0.5703070436834561,0.10989167541265488,1.0,0.21778032183647156,0.96875,1.259909749031067,0.1875,0.125
33,0.8703473210334778,0.6030740312018965,0.11847975105047226,0.96875,0.22442492842674255,1.0,1.014721155166626,0.34375,0.15625
34,0.8660250306129456,0.6246955544225753,0.11943113803863525,1.0,0.20825326442718506,1.0,1.2717498540878296,0.1875,0.1875
35,0.8643389940261841,0.6331589367770949,0.08912274241447449,1.0,0.18308044970035553,1.0,1.3591618537902832,0.125,0.21875
36,0.8607091903686523,0.6514355975644527,0.0952499657869339,1.0,0.18465140461921692,1.0,1.1763060092926025,0.1875,0.1875
37,0.8609188795089722,0.6503776822272251,0.1424880027770996,0.96875,0.18663261830806732,1.0,1.3266345262527466,0.125,0.0625
38,0.8618159294128418,0.6458548287220239,0.0827166736125946,1.0,0.13590508699417114,1.0,1.4008660316467285,0.0,0.15625
39,0.8570331931114197,0.6700235741640099,0.12929445505142212,1.0,0.1368524134159088,0.96875,1.4538819789886475,0.09375,0.15625
40,0.8589078187942505,0.6605344377900623,0.15716534852981567,0.9375,0.13613395392894745,1.0,1.4337596893310547,0.125,0.28125
41,0.8552071452140808,0.6792867927485833,0.11586067080497742,0.96875,0.1439325213432312,1.0,1.2636418342590332,0.34375,0.25
42,0.8452591896057129,0.7301009891373798,0.10951372981071472,1.0,0.1617504060268402,0.96875,1.3388053178787231,0.125,0.21875
43,0.8444101214408875,0.73446569704052,0.09637004137039185,0.96875,0.13911497592926025,1.0,1.2586686611175537,0.125,0.21875
44,0.8518552184104919,0.6963421179253859,0.0659453347325325,1.0,0.10151226073503494,1.0,1.2377474308013916,0.25,0.21875
45,0.840776264667511,0.7531955705286988,0.08865714818239212,1.0,0.15688136219978333,1.0,1.410762071609497,0.28125,0.21875
46,0.8394562602043152,0.7600192781275562,0.0607207715511322,1.0,0.08154457807540894,1.0,1.391488790512085,0.09375,0.25
47,0.8273419737815857,0.8231494192511956,0.06377360969781876,1.0,0.11175079643726349,1.0,1.4225530624389648,0.15625,0.28125
48,0.8320460319519043,0.7985264622166511,0.06284095346927643,1.0,0.11743044853210449,1.0,1.3649523258209229,0.25,0.09375
49,0.8276486396789551,0.8215399441586293,0.027968745678663254,1.0,0.1348755806684494,0.96875,1.4562513828277588,0.125,0.09375
